Parc.;Variedad;Image Name;Intensity;Hue;Saturation;Lightness;a*;b*;u*;v*;GA;GGA;CSI
1;QUC 3608-2020;R-001_Plot-001;0.4288632;98.44693;0.18439072;52.612923;-20.422506;26.631119;-15.679267;33.85076;1;0.992185592;0.781440781
2;QUC 3516-2022;R-001_Plot-002;0.4033896;101.18163;0.19945419;50.56946;-22.071417;27.3494;-17.536295;34.349735;1;1;0
3;QUC 3555-2020;R-001_Plot-003;0.36726236;91.17557;0.28578156;47.554173;-21.283197;31.346302;-15.18916;36.851326;1;0.994383394;0.561660562
4;QUC 4465-2021;R-001_Plot-004;0.37934434;95.64151;0.22827458;47.92157;-20.47919;27.828959;-15.201452;33.82437;1;0.998046398;0.195360195
5;QUC 4667-2021;R-001_Plot-005;0.3788545;92.92118;0.23115063;47.597385;-19.33623;27.61925;-13.766379;33.34793;1;0.990842491;0.915750916
6;QUC 3586-2016;R-001_Plot-006;0.32448307;97.39999;0.20407915;40.755722;-17.275066;22.854696;-12.361365;27.016323;1;0.996947497;0.305250305
7;QUC 3528-2017  ;R-001_Plot-007;0.37254742;103.26341;0.2170456;47.828167;-23.263508;27.751947;-18.805988;34.22796;1;1;0
8;QUC 3536-2020;R-001_Plot-008;0.41588163;94.8229;0.23294508;52.314823;-21.950838;30.252302;-16.519165;37.394302;1;0.997069597;0.293040293
9;QUC 3220-2020;R-001_Plot-009;0.3952056;96.80066;0.20815235;49.309616;-20.261;27.01502;-15.223928;33.41053;1;0.992307692;0.769230769
10;QUC 4559-2021;R-001_Plot-010;0.35012904;100.48086;0.21193141;44.50515;-20.332685;25.456215;-15.592363;30.80744;1;0.998412698;0.158730159
11;QUC 3309-2019;R-001_Plot-011;0.5024945;97.4599;0.1828981;60.77161;-22.501854;29.825693;-17.620155;39.061386;1;1;0
12;QUC 3529-2017  ;R-001_Plot-012;0.29990107;105.2242;0.23275071;39.557434;-21.655739;24.999226;-17.013737;29.246164;1;1;0
13;QUC 3612-2020;R-001_Plot-013;0.38605157;89.68838;0.22117889;47.773556;-17.497484;26.66059;-11.660618;32.208683;1;0.947130647;5.286935287
14;QUC 3526-2017  ;R-001_Plot-014;0.3199595;100.71291;0.24738038;41.91018;-21.515606;26.699036;-16.548903;31.33931;1;1;0
15;QUC 3535-2022;R-001_Plot-015;0.43059543;99.14681;0.22521979;54.44876;-24.416065;31.142862;-19.584663;39.199726;1;0.9997558;0.024420024
16;QUC 3528-2017;R-001_Plot-016;0.41174507;102.504585;0.22710305;52.84151;-25.66702;30.94847;-21.219444;38.83202;1;1;0
17;QUC 3448-2017  ;R-001_Plot-017;0.3938414;100.79702;0.23152441;50.55154;-24.150476;29.952429;-19.432487;37.059593;1;1;0
18;QUC 4637-2021;R-001_Plot-018;0.458361;91.72594;0.22995847;56.725857;-21.781397;31.797083;-15.88631;39.8764;1;0.979487179;2.051282051
19;QUC 3609-2020;R-001_Plot-019;0.38748515;89.835686;0.27009594;49.376556;-20.56816;31.100046;-14.360496;37.06426;1;0.965445665;3.455433455
20;QUC 3622-2020;R-001_Plot-020;0.3465682;89.80117;0.34211332;46.307297;-22.555868;34.0982;-16.060242;38.83201;1;0.978876679;2.112332112
21;QUC 3314-2019;R-001_Plot-021;0.3649273;89.43389;0.3578661;49.021706;-24.131136;36.70347;-17.4861;42.06637;1;0.98021978;1.978021978
22;QUC 3209-2020;R-001_Plot-022;0.37543026;90.14291;0.25916308;47.64838;-19.57562;29.449108;-13.517449;34.986763;1;0.936019536;6.398046398
23;QUC 3605-2020;R-001_Plot-023;0.36638865;93.63689;0.24800992;46.69345;-20.250734;28.490252;-14.661082;34.02125;1;0.9997558;0.024420024
24;QUC 4558-2021;R-001_Plot-024;0.33698377;91.43244;0.29047507;43.95364;-20.264595;29.678719;-14.247481;34.181175;1;0.998901099;0.10989011
25;QUC 3596-2020;R-001_Plot-025;0.37106517;85.08076;0.31459928;47.92934;-19.694294;32.935276;-12.657373;37.959328;1;0.800976801;19.9023199
26;QUC 3527-2022;R-002_Plot-026;0.36258456;93.39553;0.3030159;47.832066;-23.360516;32.8767;-17.46298;38.553165;1;1;0
27;QUC 3556-2020;R-002_Plot-027;0.36686683;93.27583;0.31323975;48.65155;-24.115303;34.017323;-18.157036;39.86759;1;1;0
28;QUC 3537-2022;R-002_Plot-028;0.4133011;94.16516;0.27791142;53.41962;-24.707197;34.301674;-18.989668;41.721138;1;0.995238095;0.476190476
29;QUC 3642-2020;R-002_Plot-029;0.34445754;95.41022;0.2921872;45.55384;-22.933115;31.069483;-17.318607;36.286648;1;0.98974359;1.025641026
30;QUC 3583-2021;R-002_Plot-030;0.3604547;103.95771;0.2111708;46.23769;-22.508217;26.614925;-18.092354;32.667225;1;1;0
