Parc.;Variedad;Image Name;Intensity;Hue;Saturation;Lightness;a*;b*;u*;v*;GA;GGA;CSI
1;QUC 3608-2020;R-001_Plot-001;0.31356514;74.31784;0.14725459;36.558907;-7.6111627;15.938454;-2.4645684;18.160786;0.973502304;0.130184332;86.62721893
2;QUC 3516-2022;R-001_Plot-002;0.2886022;83.01902;0.15168017;34.113216;-8.920702;15.726507;-4.1623483;17.705114;0.978110599;0.721198157;26.26619552
3;QUC 3555-2020;R-001_Plot-003;0.29324222;70.73814;0.20249653;34.958748;-8.010882;18.580257;-2.0348685;20.263899;0.974303136;0.017421603;98.21189093
4;QUC 4465-2021;R-001_Plot-004;0.29128784;73.47296;0.18487006;34.570583;-8.112704;17.506441;-2.5380635;19.255957;0.975848946;0.077868852;92.02039898
5;QUC 4667-2021;R-001_Plot-005;0.29027492;77.26338;0.18291742;34.607807;-8.881211;17.570623;-3.4727607;19.451023;0.977898126;0.236533958;75.81200419
6;QUC 3586-2016;R-001_Plot-006;0.26045406;74.49136;0.15525812;30.465162;-6.823439;14.2918825;-2.0961816;15.325778;0.960448642;0.165879575;82.72894899
7;QUC 3528-2017  ;R-001_Plot-007;0.25117025;84.684105;0.22414058;31.017506;-11.091237;18.710842;-5.730621;19.867264;0.97797619;0.883482143;9.662203287
8;QUC 3536-2020;R-001_Plot-008;0.30569214;75.87258;0.23025614;37.22299;-10.39402;21.431986;-4.0708976;23.681015;0.977678571;0.133184524;86.37747336
9;QUC 3220-2020;R-001_Plot-009;0.3011084;77.74869;0.18386263;35.936543;-9.258084;18.160461;-3.7418425;20.336527;0.976636905;0.322916667;66.93585251
10;QUC 4559-2021;R-001_Plot-010;0.29017255;81.491776;0.17757833;34.725327;-9.707684;17.489498;-4.524755;19.545488;0.977754237;0.603510896;38.2758087
11;QUC 3309-2019;R-001_Plot-011;0.31825638;82.03332;0.23040932;39.19498;-12.708236;22.724129;-6.5992208;25.702686;0.978056901;0.675998789;30.88349064
12;QUC 3529-2017  ;R-001_Plot-012;0.23632102;76.81897;0.23451447;28.826881;-8.8455105;17.806154;-3.333065;18.163008;0.977258852;0.24969475;74.44947681
13;QUC 3612-2020;R-001_Plot-013;0.29474148;65.4587;0.1917389;34.71916;-6.6663384;17.628788;-0.6744121;19.149187;0.828355911;0.009082512;98.90354953
14;QUC 3526-2017  ;R-001_Plot-014;0.25700763;72.57181;0.21323705;30.844488;-7.848819;17.464197;-2.2546883;18.276161;0.976447044;0.070658867;92.76367649
15;QUC 3535-2022;R-001_Plot-015;0.30224496;76.16783;0.2131024;36.512886;-9.853954;20.109098;-3.827741;22.27761;0.977795031;0.191304348;80.43512784
16;QUC 3528-2017;R-001_Plot-016;0.26578498;80.64177;0.2447871;32.935013;-11.122541;20.484997;-5.2679286;21.845547;0.977913534;0.505639098;48.29408938
17;QUC 3448-2017  ;R-001_Plot-017;0.28616762;77.90953;0.20678401;34.57679;-9.710229;18.989307;-4.022063;20.81237;0.978070175;0.294486216;69.89109545
