Parc.;Variedad;Image Name;Intensity;Hue;Saturation;Lightness;a*;b*;u*;v*;GA;GGA;CSI
1;QUC 3608-2020;R-001_Plot-001;0.42046762;56.887386;0.2123226;48.92768;-6.85542;24.423023;2.1261497;28.425201;0.360748882;0.006613264;98.16679577
2;QUC 3516-2022;R-001_Plot-002;0.3371141;66.91091;0.183873;39.578003;-7.523419;19.126738;-1.1266139;21.693815;0.819752402;0.065594974;91.99819678
3;QUC 3555-2020;R-001_Plot-003;0.38594496;61.209953;0.2361505;45.75018;-7.9723973;24.97002;0.61645776;28.430706;0.615946046;0.005081301;99.17504125
4;QUC 4465-2021;R-001_Plot-004;0.3707972;61.661797;0.23657346;44.05947;-7.863885;24.27129;0.43784472;27.387486;0.660557185;0.011638563;98.23806881
5;QUC 4667-2021;R-001_Plot-005;0.34363317;64.05356;0.2231673;40.84431;-7.8076715;22.06448;-0.4020959;24.664843;0.732363636;0.019545455;97.33118173
6;QUC 3586-2016;R-001_Plot-006;0.35243377;68.37658;0.18347722;41.389427;-8.096254;19.849455;-1.5765556;22.837955;0.84018759;0.102813853;87.76298841
7;QUC 3528-2017  ;R-001_Plot-007;0.2968723;72.93362;0.23537171;36.059864;-9.45885;21.060078;-3.0177507;22.898628;0.948818898;0.142716535;84.95850622
8;QUC 3536-2020;R-001_Plot-008;0.35753343;65.2162;0.27406812;43.418785;-9.414;26.587986;-0.90825665;29.504187;0.846413352;0.005681818;99.32871827
9;QUC 3220-2020;R-001_Plot-009;0.39749482;62.239006;0.24034119;47.198387;-8.541593;25.986834;0.25885776;29.78958;0.660333807;0.005415483;99.17988707
10;QUC 4559-2021;R-001_Plot-010;0.3716488;66.93735;0.21715897;44.121033;-8.939101;23.21627;-1.4043856;26.662582;0.825140944;0.046775899;94.33116259
11;QUC 3309-2019;R-001_Plot-011;0.36337867;71.13512;0.25196326;44.125427;-11.005951;25.795364;-3.3010259;29.320309;0.969755245;0.062674825;93.53704705
12;QUC 3529-2017  ;R-001_Plot-012;0.30211368;73.03954;0.22480899;36.518642;-9.36453;20.664633;-3.0219123;22.66859;0.937412587;0.186888112;80.06340918
13;QUC 3612-2020;R-001_Plot-013;0.40542826;58.023457;0.23489338;47.726673;-7.3044024;25.628805;1.8872219;29.354202;0.423230396;0.00537821;98.7292478
14;QUC 3526-2017  ;R-001_Plot-014;0.3384262;59.85036;0.23656464;40.233356;-6.881344;22.449223;0.94746214;24.682695;0.535372522;0.003417635;99.36163422
15;QUC 3535-2022;R-001_Plot-015;0.36661744;60.681015;0.21868038;43.22024;-7.228247;22.643486;0.68093675;25.623085;0.580741627;0.015123035;97.39590996
16;QUC 3528-2017;R-001_Plot-016;0.31751573;72.07869;0.23729706;38.51427;-9.824308;22.271025;-3.0466232;24.62822;0.976085482;0.074881275;92.32841008
17;QUC 3448-2017  ;R-001_Plot-017;0.38157284;62.207745;0.27458572;46.003155;-8.8912525;27.752157;0.3306525;31.087875;0.677441077;0.006481481;99.04324056
18;QUC 4637-2021;R-001_Plot-018;0.3864907;59.274815;0.18945765;44.893013;-6.6843905;21.239159;0.96265405;24.584513;0.498161765;0.010862299;97.81952365
19;QUC 3609-2020;R-001_Plot-019;0.37879562;59.440468;0.243864;44.96572;-7.4650946;25.064415;1.3143506;28.229202;0.499582219;0.008272059;98.34420472
20;QUC 3622-2020;R-001_Plot-020;0.3337047;62.02832;0.23669684;39.808365;-7.3648496;22.367208;0.25417814;24.595661;0.665394824;0.003483743;99.47643979
21;QUC 3314-2019;R-001_Plot-021;0.3389822;63.925453;0.21946931;40.238377;-7.5928073;21.545485;-0.32182312;24.025526;0.788178548;0.006213211;99.21170003
22;QUC 3209-2020;R-001_Plot-022;0.37302995;58.755116;0.20059305;43.548923;-6.574714;21.469898;1.1490115;24.504478;0.487001308;0.009319817;98.08628504
