Parc.;Variedad;Image Name;Intensity;Hue;Saturation;Lightness;a*;b*;u*;v*;GA;GGA;CSI
1;QUC 3608-2020;R-001_Plot-001;0.5628994;45.34281;0.25538534;64.07324;-3.5590987;33.895367;11.791121;39.830036;0.029310967;0;100
2;QUC 3516-2022;R-001_Plot-002;0.4234952;50.201424;0.25576895;49.543304;-4.961685;27.529171;6.0531235;31.018795;0.046363636;0;100
3;QUC 3555-2020;R-001_Plot-003;0.4549428;42.974533;0.27377594;52.653374;-1.7675555;29.879932;11.922817;33.192993;7.22E-04;0;100
4;QUC 4465-2021;R-001_Plot-004;0.48985937;47.480885;0.300435;57.33615;-4.151942;34.58133;10.542705;38.96695;0.006313131;0;100
5;QUC 4667-2021;R-001_Plot-005;0.41202256;46.50938;0.2566858;47.999195;-3.3661156;26.675945;7.9196224;29.577309;0.061958874;9.92E-04;98.39883552
6;QUC 3586-2016;R-001_Plot-006;0.44949195;50.791714;0.26364368;52.589306;-5.4536304;29.582787;6.333236;33.671673;0.047423049;0;100
7;QUC 3528-2017  ;R-001_Plot-007;0.34639952;58.674328;0.2819717;41.80583;-7.254991;25.945637;1.7296039;28.115982;0.485660173;6.31E-04;99.87000929
8;QUC 3536-2020;R-001_Plot-008;0.47183642;41.970284;0.30712873;54.897007;-0.8191717;33.447884;14.952149;36.647537;0.02732684;0.005862193;78.54785479
9;QUC 3220-2020;R-001_Plot-009;0.46665034;36.72885;0.26694417;53.20479;1.5920062;29.19804;16.801235;32.013752;8.95E-04;0;100
10;QUC 4559-2021;R-001_Plot-010;0.43609336;40.12185;0.28619385;50.501312;-0.06191675;29.561308;14.136957;32.030376;0.046528275;0;100
11;QUC 3309-2019;R-001_Plot-011;0.4261942;58.471;0.26305097;50.594532;-8.145877;29.01983;2.0878127;33.22543;0.36550071;0;100
12;QUC 3529-2017  ;R-001_Plot-012;0.36593604;55.76785;0.31090182;44.335518;-6.8333416;28.911194;3.4767544;31.176228;0.228870739;0;100
13;QUC 3612-2020;R-001_Plot-013;0.51131624;40.910423;0.27600378;58.532883;-0.641934;32.742905;15.343613;36.9002;6.26E-04;0;100
14;QUC 3526-2017  ;R-001_Plot-014;0.4297618;49.19404;0.3439045;51.592735;-4.5961146;34.750374;9.345122;37.576637;0.005326705;0;100
15;QUC 3535-2022;R-001_Plot-015;0.43606773;49.97805;0.30727506;51.772972;-5.0640564;32.342278;7.8397603;35.76152;0.008078835;0;100
16;QUC 3528-2017;R-001_Plot-016;0.3615196;57.753624;0.32336378;44.173702;-7.6318355;29.68536;2.6018243;31.900387;0.31640625;0;100
17;QUC 3448-2017  ;R-001_Plot-017;0.5137801;42.795444;0.3509578;60.256294;-0.74316674;39.80934;18.046516;43.4096;4.40E-04;0;100
18;QUC 4637-2021;R-001_Plot-018;0.45820406;37.18821;0.27836126;52.498055;1.5526025;29.757889;16.885479;32.352455;0.005681818;0;100
19;QUC 3609-2020;R-001_Plot-019;0.41848496;45.459282;0.30928338;49.40626;-2.648539;30.956266;10.678963;33.45599;0.061523438;8.88E-05;99.85569986
20;QUC 3622-2020;R-001_Plot-020;0.4450049;41.99593;0.3126377;52.04841;-0.7557332;32.37506;14.322513;34.966267;6.17E-04;0;100
21;QUC 3314-2019;R-001_Plot-021;0.3964511;45.253735;0.3085624;46.90282;-2.4787884;29.577047;10.168783;31.58755;0.002114165;0;100
22;QUC 3209-2020;R-001_Plot-022;0.49832416;43.504112;0.3216142;58.176754;-1.6252944;36.39859;15.178109;40.196213;0.001585624;0;100
23;QUC 3605-2020;R-001_Plot-023;0.4424962;39.471146;0.29148906;51.211777;0.393376;30.250189;15.167255;32.70654;0.002642706;0;100
24;QUC 4558-2021;R-001_Plot-024;0.41855654;39.541553;0.28688407;48.52976;0.2627269;28.590769;14.029982;30.632927;7.05E-04;0;100
25;QUC 3596-2020;R-001_Plot-025;0.45979908;42.452496;0.28648198;53.320633;-1.3448498;31.124018;13.103032;34.357246;0.005167959;0;100
26;QUC 3527-2022;R-002_Plot-026;0.41214666;42.98864;0.2789201;48.034065;-1.6455479;28.022919;10.93899;30.41238;8.61E-04;0;100
27;QUC 3556-2020;R-002_Plot-027;0.4914918;45.1507;0.34222138;57.974197;-2.4577675;37.995956;14.441664;41.641148;0.001497533;0;100
28;QUC 3537-2022;R-002_Plot-028;0.49667343;46.424477;0.34862125;58.809113;-3.286406;39.04139;13.625519;42.916492;0.002026075;0;100
29;QUC 3642-2020;R-002_Plot-029;0.3774128;41.33948;0.27504903;43.96689;-0.8209948;25.69689;10.845629;27.233013;0.024489077;0;100
30;QUC 3583-2021;R-002_Plot-030;0.4016334;42.68005;0.26307142;46.6247;-1.6328118;26.245667;10.146952;28.523796;0.057258633;0;100
31;QUC 3211-2020;R-002_Plot-031;0.44721696;42.326588;0.2918383;52.017532;-1.2032106;30.880411;13.086808;33.7872;0.003875969;0;100
32;QUC 4344-2021;R-002_Plot-032;0.46832272;50.47025;0.31675982;55.572884;-5.6057057;35.080173;8.356688;39.21954;0.092240767;1.78E-04;99.80750722
33;QUC 4459-2021;R-002_Plot-033;0.50909895;47.50786;0.3240229;59.85001;-4.168975;37.76314;11.926327;42.353565;0.003196023;0;100
34;QUC 4534-2021;R-002_Plot-034;0.37410936;50.547985;0.28611553;44.492134;-4.742857;27.172888;5.836435;29.387156;0.0863284;0;100
35;QUC 3408-2020;R-002_Plot-035;0.44208053;39.03459;0.26404834;50.748135;0.1688785;27.999508;13.902596;30.676146;0.00168679;0;100
