Parc.;Variedad;Area;Mean;Min;Max
1;QUC 3608-2020;520;21.741;20.935;28.084
2;QUC 3516-2022;532;21.301;20.755;22.581
3;QUC 3555-2020;532;21.48;20.965;22.182
4;QUC 4465-2021;532;22.147;21.071;23.817
5;QUC 4667-2021;532;22.121;21.404;23.696
6;QUC 3586-2016;532;23.234;21.73;25.257
7;QUC 3528-2017  ;551;21.249;20.564;21.903
8;QUC 3536-2020;570;21.212;20.898;22.226
9;QUC 3220-2020;570;21.941;20.98;23.537
10;QUC 4559-2021;570;21.378;20.811;22.509
11;QUC 3309-2019;570;20.561;20.035;21.825
12;QUC 3529-2017  ;570;20.321;19.954;21.336
13;QUC 3612-2020;570;22.389;21.219;27.497
14;QUC 3526-2017  ;570;20.964;20.304;24.735
15;QUC 3535-2022;570;20.465;19.881;23.796
16;QUC 3528-2017;570;20.855;20.203;23.759
17;QUC 3448-2017  ;570;20.709;19.862;25.644
18;QUC 4637-2021;570;21.447;20.488;26.236
19;QUC 3609-2020;589;22.166;20.39;27.481
20;QUC 3622-2020;608;21.237;20.366;23.789
21;QUC 3314-2019;608;20.238;19.702;20.815
22;QUC 3209-2020;608;21.527;20.743;23.502
23;QUC 3605-2020;608;20.996;20.543;21.602
24;QUC 4558-2021;608;21.205;20.532;22.86
25;QUC 3596-2020;592;21.965;21.077;23.372
26;QUC 3527-2022;583;21.78;20.98;25.873
27;QUC 3556-2020;589;21.768;21.218;22.771
28;QUC 3537-2022;589;22.438;21.712;23.19
29;QUC 3642-2020;589;23.188;22.387;25.599
30;QUC 3583-2021;589;23.314;22.427;24.615
31;QUC 3211-2020;588;23.324;22.172;28.009
32;QUC 4344-2021;570;22.604;21.741;24.852
33;QUC 4459-2021;551;23.005;22.167;24.47
34;QUC 4534-2021;551;22.041;21.265;23.63
35;QUC 3408-2020;551;21.869;21.245;23.756
36;QUC 3594-2020;551;23.069;22.138;25.514
37;QUC 3559-2020;551;21.679;20.948;23.715
38;QUC 3546-2022;551;21.723;20.812;26.599
