Parc.;Variedad;Area;Mean;Min;Max;%Area
1;QUC 3608-2020;418;22.4102;21.9991;24.3357;100
2;QUC 3516-2022;418;22.4476;22.0864;23.3459;100
3;QUC 3555-2020;418;23.343;22.7088;24.6094;100
4;QUC 4465-2021;418;23.6975;23.0335;25.2745;100
5;QUC 4667-2021;418;23.2661;22.4733;25.8637;100
6;QUC 3586-2016;418;23.572;22.5455;24.9322;100
7;QUC 3528-2017  ;429;22.3026;21.8342;23.081;100
8;QUC 3536-2020;437;23.263;22.4471;25.117;100
9;QUC 3220-2020;437;24.7997;24.2423;25.7276;100
10;QUC 4559-2021;437;24.3681;24.0023;25.1885;100
11;QUC 3309-2019;437;23.9624;23.4931;24.4639;100
12;QUC 3529-2017  ;437;23.2639;22.9598;23.7443;100
13;QUC 3612-2020;437;25.103;24.3222;26.1977;100
14;QUC 3526-2017  ;437;23.4229;22.9704;24.5076;100
15;QUC 3535-2022;437;23.327;22.9454;23.7631;100
16;QUC 3528-2017;437;23.4881;23.1017;24.0168;100
17;QUC 3448-2017  ;437;23.5095;23.061;24.1729;100
18;QUC 4637-2021;437;24.5872;23.9456;25.1485;100
19;QUC 3609-2020;447;24.7154;23.9553;25.9677;100
20;QUC 3622-2020;456;23.6377;23.4037;24.0602;100
21;QUC 3314-2019;456;23.4362;23.1668;23.9121;100
22;QUC 3209-2020;456;24.6203;23.9533;26.6667;100
23;QUC 3605-2020;456;23.6528;23.3501;24.1752;100
24;QUC 4558-2021;456;24.1962;23.8016;25.0337;100
25;QUC 3596-2020;444;25.2587;24.4111;26.2998;100
26;QUC 3527-2022;444;24.9592;24.3483;25.6255;100
27;QUC 3556-2020;456;23.637;23.3546;23.9288;100
28;QUC 3537-2022;456;23.3361;22.9634;23.8488;100
29;QUC 3642-2020;456;23.3747;22.8641;24.6742;100
30;QUC 3583-2021;456;24.5382;23.7806;25.3749;100
31;QUC 3211-2020;456;24.3186;23.7117;25.5074;100
32;QUC 4344-2021;447;23.7677;23.3431;24.1726;100
33;QUC 4459-2021;437;24.3601;23.8827;25.1241;100
34;QUC 4534-2021;437;23.7843;23.3302;24.2658;100
35;QUC 3408-2020;437;23.6352;23.2225;24.1333;100
36;QUC 3594-2020;437;24.8613;24.1222;28.3048;100
37;QUC 3559-2020;437;23.1578;22.8264;23.8715;100
38;QUC 3546-2022;437;23.6446;23.1183;24.2028;100
39;QUC 3502-2020;437;23.9611;23.6979;24.4798;100
40;QUC 3658-2020;437;24.2554;23.8207;25.4735;100
41;QUC 3448-2017;437;24.2608;23.6193;25.3524;100
42;QUC 3306-2019;437;24.681;23.9637;26.6911;100
43;QUC 3528-2020;437;22.5335;22.1735;23.8007;100
44;QUEULE-INIA;429;22.5209;22.0522;23.6412;100
45;QUC 3454-2017  ;418;22.4003;21.7371;23.6545;100
46;QUC 3328-2019;418;23.0341;22.271;25.1071;100
47;QUC 3207-2020;418;23.964;23.2307;25.5;100
48;QUC 3591-2020;418;23.6206;22.7469;25.2773;100
49;QUC 3590-2020;418;23.4383;22.8682;24.5245;100
50;QUC 3301-2019;418;22.4908;22.1676;23.2613;100
51;QUC 4551-2021;418;23.2982;22.5566;25.242;100
52;QUC 3526-2017;418;22.5906;22.2217;23.1364;100
53;QUC 3628-2020;418;23.904;22.9315;25.3774;100
54;QUC 3607-2020;418;23.3512;22.8768;24.2062;100
55;QUC 3305-2019;418;22.5181;22.0676;23.7504;100
56;QUC 3492-2018;418;22.1024;21.5487;22.6604;100
57;QUC 3527-2020;429;22.0944;21.6314;23.0643;100
58;QUC 3619-2020;437;22.9808;22.3945;24.233;100
59;QUC 3534-2018;437;23.7385;23.2767;24.3595;100
60;QUC 3312-2019;437;23.6185;23.3128;24.1644;100
61;QUC 4535-2021;437;24.2039;23.5955;25.5908;100
62;QUC 3702-2020;437;24.7051;24.0999;25.8758;100
63;QUC 3617-2020;437;23.978;23.3995;24.9867;100
64;QUC 3653-2020;437;24.1923;23.6203;27.2408;100
65;QUC 3532-2018;437;23.4658;22.8842;24.4586;100
66;QUC 3593-2017;437;23.3175;22.7532;24.7111;100
67;QUC 3555-2017  ;437;23.281;22.9678;23.6847;100
68;QUC 4425-2021;437;24.6995;23.696;26.5748;100
69;QUC 4542-2021;447;23.3407;22.8598;24.3105;100
70;QUC 3221-2020;456;24.9879;23.8842;27.0912;100
71;QUC 3413-2020;456;23.9728;23.4547;25.5508;100
72;QUC 3210-2020;456;23.9654;23.1704;25.6565;100
73;QUC 3556-2018;456;22.6303;22.3227;23.4464;100
74;QUC 3677-2020;456;23.8179;23.3563;24.3928;100
75;QUC 3517-2017;444;23.8828;23.4453;24.7875;100
76;QUC 3592-2020;444;24.2415;23.7955;25.1697;100
77;QUC 3425-2020;456;24.3237;23.3739;25.9856;100
78;LLEUQUE-INIA;456;22.8246;22.4203;23.4223;100
79;QUC 3522-2022;456;23.3713;22.8239;24.5825;100
80;QUC 4592-2021;456;24.6923;23.672;27.3055;100
81;QUC 3603-2020;456;23.8726;23.3608;24.8815;100
82;QUC 3616-2020;447;23.3052;22.889;24.464;100
83;QUC 3606-2020;437;24.2741;23.8115;25.0594;100
84;QUC 4552-2021;437;24.639;23.664;26.379;100
85;QUC 3555-2017  ;437;23.1087;22.7606;23.7514;100
86;QUC 3582-2020;437;23.5948;23.1691;24.1742;100
87;QUC 3678-2020;437;23.6978;23.3657;24.6128;100
88;QUC 3625-2020;437;24.3624;23.7284;25.5926;100
89;QUC 3401-2020;437;24.264;23.9603;24.9322;100
90;QUC 3543-2020;437;23.4681;23.2323;24.0262;100
91;QUC 3632-2021;437;24.9262;24.1805;26.1207;100
92;QUC 4600-2021;437;23.8728;23.5435;25.1032;100
93;QUC 3584-2018;437;23.0475;22.3473;24.533;100
94;QUC 4605-2021;429;22.6865;22.4029;23.3831;100
95;QUC 3521-2020;395;21.5559;21.1135;22.1489;100
96;QUC 3525-2022;418;22.7206;22.1335;23.5703;100
97;QUC 3326-2019;418;23.0205;22.5012;24.6232;100
98;QUC 3317-2019;418;23.1726;22.4661;24.0986;100
99;QUC 3547-2022;418;22.3358;22.0538;22.8303;100
100;QUC 4598-2021;418;22.3807;22.1387;23.1087;100
101;QUC 3518-2022;418;22.5942;22.1238;24.7068;100
102;QUC 3524-2022;418;22.8775;22.3268;24.7259;100
103;QUC 3414-2020;418;23.3402;22.7928;24.2747;100
104;QUC 3544-2020;418;22.9746;22.5281;24.0792;100
105;QUC 3636-2020;418;22.4814;21.8992;23.8756;100
106;QUC 3421-2020;418;22.3492;21.8426;23.9738;100
107;QUC 4454-2021;429;22.4379;21.93;23.3642;100
108;QUC 3859-2021;437;23.4441;23.0743;24.5636;100
109;QUC 3532-2022;437;23.1874;22.6987;23.6337;100
110;QUC 3655-2020;437;24.2114;23.8362;24.7098;100
111;QUC 3534-2020;437;23.5335;23.2836;23.806;100
112;QUC 3648-2020;437;24.5035;23.8163;25.9755;100
113;QUC 4541-2021;437;24.5694;23.5647;28.0935;100
114;QUC 3311-2019;437;23.681;23.1375;24.2592;100
115;QUC 3649-2020;437;23.5186;23.2581;23.9012;100
116;QUC 3454-2020  ;437;23.9626;23.3381;25.1425;100
117;QUC 4483-2021;437;24.0036;23.4438;24.7171;100
118;QUC 3410-2020;437;23.3358;23.0118;24.3191;100
119;QUC 3638-2020;447;23.5262;23.2354;24.2476;100
120;QUC 4546-2021;456;25.4594;23.846;28.4083;100
121;QUC 4481-2021;456;25.1024;24.2832;26.7779;100
122;QUC 3409-2020;456;24.4087;23.797;26.2307;100
123;QUC 3404-2020;456;23.7161;23.3718;24.7223;100
124;QUC 3741-2020;456;23.8993;23.4876;24.6825;100
125;QUC 3528-2022;444;24.4104;23.6259;25.9073;100
126;QUC 3407-2020;444;25.1125;24.5907;26.602;100
127;QUC 3631-2020;456;25.0409;24.3894;26.3639;100
128;QUC 3401-2018;456;23.5968;23.2322;24.1819;100
129;QUC 3657-2020;456;23.6045;23.07;26.4725;100
130;QUC 3311-2019;456;23.4736;22.9279;24.1663;100
131;QUC 3626-2020;456;24.5377;23.7704;26.1763;100
132;QUC 4568-2021;447;23.0068;22.6014;24.3112;100
133;QUC 3622-2021;437;23.7587;23.0907;27.3678;100
134;QUC 3492-2018;437;22.9785;22.6611;23.654;100
135;QUC 4323-2021;437;24.2971;23.8356;25.5398;100
136;QUC 3594-2017  ;437;23.424;23.1573;24.4285;100
137;QUC 3635-2020;437;23.6785;23.4288;25.5748;100
138;QUC 3536-2022;437;24.2211;23.804;24.9331;100
139;QUC 3646-202;437;23.8964;23.2868;25.5751;100
140;QUC 3214-2020;437;23.4188;22.899;25.8649;100
141;QUC 3487-2018  ;437;23.0109;22.6457;23.4998;100
142;QUC 4423-2021;437;23.3611;22.7696;24.1692;100
143;QUC 3531-2018;437;22.8825;22.5963;23.3501;100
144;QUC 4470-2021;429;22.6635;22.1429;23.5864;100
145;QUC 3313-2019;418;21.6959;21.4391;22.8716;100
146;QUC 3679-2016;418;22.2549;21.8448;22.9714;100
147;QUC 4636-2021;418;23.661;23.0255;24.6514;100
148;QUC 3572-2018;418;23.097;22.7789;23.6471;100
149;QUC 3635-2020;418;22.8544;22.5422;23.5154;100
150;QUC 3419-2020;418;22.3313;22.0125;22.9136;100
151;QUC 3581-2018;418;22.156;21.8448;22.5764;100
152;QUC 3588-2020;418;23.2353;22.4533;24.9781;100
153;QUC 4539-2021;418;22.8612;22.3955;24.192;100
154;QUC 3507-2020;418;22.2651;21.6779;23.2565;100
155;QUC 3501-2020;418;22.6477;22.27;23.8191;100
156;QUC 3595-2020;418;22.6051;22.164;23.3963;100
157;QUC 3319-2020;429;22.6089;22.2071;23.576;100
158;QUC 3598-2020;437;22.9171;22.5354;23.6269;100
159;QUC 3597-2020;437;23.071;22.6302;23.5254;100
160;QUC 3679-2016  ;437;22.8199;22.4758;23.4049;100
161;QUC 3634-2020;437;23.3449;22.8397;24.0876;100
162;QUC 3418-2020;437;23.1131;22.4335;25.4322;100
163;CBC 509 CHILE/SOMAT_3.1//BOOMER_18/LOTUS_4/6/ZAMPULLIN_2/GUANAY/5/NETTA_4/DUKEM_12//RASCON_19/3/SORA/2*PLATA_12/4/GREEN_18/FOCHA_1//AIRON_1/7/ZAKA/3/AJAIA_12/F3LOCAL(SEL.ETHIO.135.85)//PLATA_13/4/SOOTY_9/RASCON_37//WODUCK/CHAM_3/8/SELIM//SOUAI/FUMA_1;437;23.2609;22.9409;23.8257;100
164;QUC 3310-2020;437;23.769;23.25;24.5162;100
165;QUC 3656-2020;437;23.0668;22.6523;23.6343;100
166;QUC 4533-2021;437;23.3928;23.0236;24.0692;100
167;QUC 3589-2020;437;23.5929;23.1339;24.0736;100
168;QUC 3536-2018;437;22.6337;22.3105;23.0612;100
169;QUC 3558-2018;447;22.4589;22.1346;23.0194;100
170;QUC 3522-2020;456;23.1009;22.6817;24.1324;100
171;QUC 35783-2020;456;24.7429;23.9491;26.1036;100
172;QUC 3313-2020;456;23.5049;23.0692;24.6393;100
173;QUC 3529-2017;456;22.7585;22.2507;23.4696;100
174;QUC 3545-2020;456;24.1035;23.4606;26.2975;100
175;QUC 3519-2022;444;24.736;23.9671;26.264;100
176;QUC 4628-2021;444;23.8285;23.3127;25.1982;100
177;QUC 4222-2021;456;24.435;23.7199;26.0111;100
178;QUC 4548-2021;456;23.5705;23.042;25.0708;100
179;QUC 3534-2018  ;456;23.5566;23.1;24.5829;100
180;QUC 3663-2020;456;23.0748;22.7943;23.9762;100
181;QUC 3526-2022;456;23.208;22.8186;23.8778;100
182;QUC 4614-2021;447;22.7599;22.2079;23.751;100
183;QUC 3573-2020;437;22.7167;22.1402;23.4484;100
184;QUC 3533-2022;437;22.9933;22.6889;23.4688;100
185;QUC 4553-2021;437;23.2844;22.95;23.8798;100
186;QUC 4224-2021;437;23.8795;23.3525;24.7595;100
187;QUC 3315-2019;437;22.7735;22.4744;23.2077;100
188;QUC 3309-2020;437;23.7181;23.1971;24.5736;100
189;QUC 3531-2022;437;23.5052;23.088;24.064;100
190;QUC 3610-2020;437;23.0861;22.8152;23.4523;100
191;QUC 3534-2022;437;23.3687;22.9942;23.6058;100
192;QUC 3517-2017  ;437;23.2362;22.8379;23.8511;100
193;QUC 3416-2020;437;22.7553;22.4352;23.1917;100
194;QUC 3558-2020;429;22.0094;21.5412;22.3234;100
195;QUC 4562-2021;418;22.0027;21.6114;22.4604;100
196;QUC 4537-2021;418;22.31;21.4182;25.0319;100
197;QUC 3409-2020;418;22.3548;21.2527;27.4102;100
198;QUC 3630-2020;418;21.7754;21.3917;22.3399;100
199;QUC 3624-2020;418;22.4185;22.0286;23.416;100
200;QUC 3509-2017 ;418;21.9888;21.5669;23.2736;100
201;QUC 3679-2020;418;22.1692;21.7468;23.6585;100
202;QUC 3493-2018;418;21.7579;21.3474;22.7089;100
203;QUC 3509-2017;418;22.1911;21.8559;23.2372;100
204;QUC 3614-2020;418;22.2913;21.7116;23.7484;100
205;QUC 4540-2021;418;21.6695;21.2761;22.6509;100
206;QUC 3772-2021;418;22.7399;21.8369;25.1558;100
207;QUC 3417-2020;429;21.9792;21.5611;22.7811;100
208;QUC 3584-2020;437;23.6993;22.9178;24.792;100
209;QUC 3618-2020;437;23.1143;22.6988;24.5865;100
210;QUC 3489-2018  ;437;23.4116;23.1134;24.1095;100
211;QUC 4480-2021;437;23.4135;22.9646;24.553;100
212;QUC 3513-2020;437;23.2434;22.805;24.0978;100
213;QUC 3632-2020;437;24.3303;23.6283;25.0468;100
214;QUC 3601-2020;437;24.8943;24.0085;25.9924;100
215;QUC 4597-2021;437;23.3426;22.9629;24.1093;100
216;QUC 3543-2022;437;23.5296;22.9027;24.072;100
217;QUC 3224-2020;437;23.5422;22.8641;25.0404;100
218;QUC 4557-2021;437;22.8235;22.5754;23.5146;100
219;QUC 3581-2020;447;23.0133;22.7519;23.3455;100
220;QUC 3637-2020;456;23.6152;23.1635;24.2711;100
221;QUC 3661-2020;456;23.5709;23.2025;24.3132;100
222;QUC 3613-2017 ;456;23.0291;22.7221;23.5545;100
223;QUC 3561-2020;456;23.4801;23.1719;24.5993;100
224;QUC 3627-2020;456;24.2592;23.9505;25.4878;100
225;QUC 4543-2021;444;24.1673;23.6456;25.1517;100
226;QUC 3423-2020;444;23.9336;23.5686;25.1365;100
227;QUC 3117-2020;456;24.6568;23.8966;25.8181;100
228;QUC 3422-2020;456;23.5205;23.1002;24.3868;100
229;QUC 3611-2020;456;23.1716;22.743;24.1258;100
230;QUC 3212-2020;456;23.6923;23.0229;24.827;100
231;QUC 3672-2018  ;456;23.5303;23.2778;24.0348;100
232;QUC 3406-2020;447;22.9042;22.5943;23.4035;100
