Parc.;Variedad; ;Area;Mean;StdDev;Min;Max;%Area;MinThr;MaxThr
1;QUC 3608-2020;1;714;24.9708;0.6452;24.1008;28.6336;100;-3.40E+38;3.40E+38
2;QUC 3516-2022;2;714;24.3262;0.4275;23.6682;26.589;100;-3.40E+38;3.40E+38
3;QUC 3555-2020;3;714;24.8799;0.3246;24.2944;26.0233;100;-3.40E+38;3.40E+38
4;QUC 4465-2021;4;714;25.4;0.4438;24.541;27.3354;100;-3.40E+38;3.40E+38
5;QUC 4667-2021;5;714;25.1057;0.5738;24.4167;29.164;100;-3.40E+38;3.40E+38
6;QUC 3586-2016;6;714;25.2848;0.2963;24.6393;26.5761;100;-3.40E+38;3.40E+38
7;QUC 3528-2017  ;7;714;23.8236;0.2615;23.2335;24.9129;100;-3.40E+38;3.40E+38
8;QUC 3536-2020;8;714;24.8655;0.5455;24.0964;26.6323;100;-3.40E+38;3.40E+38
9;QUC 3220-2020;9;714;25.5582;0.6459;24.1424;27.9299;100;-3.40E+38;3.40E+38
10;QUC 4559-2021;10;714;24.9089;0.4181;24.0698;26.3571;100;-3.40E+38;3.40E+38
11;QUC 3309-2019;11;714;23.8084;0.3314;23.1368;25.2662;100;-3.40E+38;3.40E+38
12;QUC 3529-2017  ;12;714;23.4304;0.3816;22.7749;24.786;100;-3.40E+38;3.40E+38
13;QUC 3612-2020;13;693;25.8048;0.5367;24.9366;27.508;100;-3.40E+38;3.40E+38
14;QUC 3526-2017  ;14;672;25.1312;0.3906;24.5019;26.7206;100;-3.40E+38;3.40E+38
15;QUC 3535-2022;15;672;25.4051;0.2975;24.7182;26.3359;100;-3.40E+38;3.40E+38
16;QUC 3528-2017;16;672;25.4111;0.1729;24.7885;25.9223;100;-3.40E+38;3.40E+38
17;QUC 3448-2017  ;17;672;26.0323;0.232;25.5666;26.9;100;-3.40E+38;3.40E+38
18;QUC 4637-2021;18;672;27.11;0.2703;26.4752;27.8231;100;-3.40E+38;3.40E+38
19;QUC 3609-2020;19;672;26.629;0.3129;25.8959;27.3846;100;-3.40E+38;3.40E+38
20;QUC 3622-2020;20;672;26.5789;0.2494;26.1074;27.216;100;-3.40E+38;3.40E+38
21;QUC 3314-2019;21;672;26.1661;0.3613;25.491;27.1859;100;-3.40E+38;3.40E+38
22;QUC 3209-2020;22;672;26.9119;0.2443;26.3138;27.4891;100;-3.40E+38;3.40E+38
23;QUC 3605-2020;23;672;26.2428;0.2642;25.7155;26.91;100;-3.40E+38;3.40E+38
24;QUC 4558-2021;24;672;26.3366;0.2834;25.6877;27.1564;100;-3.40E+38;3.40E+38
25;QUC 3596-2020;25;624;26.3071;0.2858;25.3977;26.8891;100;-3.40E+38;3.40E+38
26;QUC 3527-2022;26;624;25.5171;0.2441;25.0006;26.2303;100;-3.40E+38;3.40E+38
27;QUC 3556-2020;27;672;25.392;0.2607;24.8329;26.3285;100;-3.40E+38;3.40E+38
28;QUC 3537-2022;28;672;25.8216;0.2136;25.2683;26.3648;100;-3.40E+38;3.40E+38
29;QUC 3642-2020;29;672;26.284;0.3063;25.7476;27.112;100;-3.40E+38;3.40E+38
30;QUC 3583-2021;30;672;26.5527;0.2282;25.923;27.2329;100;-3.40E+38;3.40E+38
