Parc.;Variedad;Area;Mean;StdDev;Min;Max;%Area;MinThr;MaxThr
1;QUC 3608-2020;720;23.8087;0.3795;23.0044;25.9701;100;-3.40E+38;3.40E+38
2;QUC 3516-2022;716;22.9437;0.2347;22.4641;24.1374;100;-3.40E+38;3.40E+38
3;QUC 3555-2020;730;23.6331;0.4997;22.8703;25.4566;100;-3.40E+38;3.40E+38
4;QUC 4465-2021;731;23.8149;0.3188;23.2158;24.8645;100;-3.40E+38;3.40E+38
5;QUC 4667-2021;720;23.6412;0.4279;23.0581;25.4044;100;-3.40E+38;3.40E+38
6;QUC 3586-2016;720;23.8731;0.4722;23.3055;26.2818;100;-3.40E+38;3.40E+38
7;QUC 3528-2017  ;730;23.1706;0.2972;22.8322;25.2702;100;-3.40E+38;3.40E+38
8;QUC 3536-2020;740;25.3059;0.4451;24.5293;28.9866;100;-3.40E+38;3.40E+38
9;QUC 3220-2020;740;24.9087;0.2396;24.1551;25.9769;100;-3.40E+38;3.40E+38
10;QUC 4559-2021;731;24.7324;0.3825;23.8568;26.8771;100;-3.40E+38;3.40E+38
11;QUC 3309-2019;730;23.2137;0.1555;22.7519;23.7392;100;-3.40E+38;3.40E+38
12;QUC 3529-2017  ;733;22.8062;0.3265;22.4541;24.6299;100;-3.40E+38;3.40E+38
13;QUC 3612-2020;740;25.0175;0.3786;24.2709;26.624;100;-3.40E+38;3.40E+38
14;QUC 3526-2017  ;740;23.5435;0.2839;23.2381;24.9958;100;-3.40E+38;3.40E+38
15;QUC 3535-2022;751;23.3094;0.2421;22.9599;25.2864;100;-3.40E+38;3.40E+38
16;QUC 3528-2017;750;23.22;0.1464;22.8833;23.7182;100;-3.40E+38;3.40E+38
17;QUC 3448-2017  ;740;23.9633;0.2186;23.6392;24.7044;100;-3.40E+38;3.40E+38
18;QUC 4637-2021;740;25.031;0.2044;24.5415;25.7075;100;-3.40E+38;3.40E+38
19;QUC 3609-2020;751;24.0844;0.3281;23.4687;25.7744;100;-3.40E+38;3.40E+38
20;QUC 3622-2020;760;23.6862;0.4617;22.8957;26.3286;100;-3.40E+38;3.40E+38
21;QUC 3314-2019;760;23.5585;0.3543;23.0928;25.0104;100;-3.40E+38;3.40E+38
22;QUC 3209-2020;750;24.5637;0.3279;23.8523;26.089;100;-3.40E+38;3.40E+38
23;QUC 3605-2020;751;23.9018;0.376;23.1815;25.859;100;-3.40E+38;3.40E+38
24;QUC 4558-2021;760;24.5753;0.3439;24.0756;26.3483;100;-3.40E+38;3.40E+38
25;QUC 3596-2020;741;24.9452;0.4833;24.3007;27.3002;100;-3.40E+38;3.40E+38
26;QUC 3527-2022;741;24.6185;0.2793;24.0028;25.839;100;-3.40E+38;3.40E+38
27;QUC 3556-2020;760;23.8267;0.1579;23.4903;24.3986;100;-3.40E+38;3.40E+38
28;QUC 3537-2022;751;23.6334;0.2463;23.2902;24.4469;100;-3.40E+38;3.40E+38
29;QUC 3642-2020;750;24.161;0.218;23.6206;24.7711;100;-3.40E+38;3.40E+38
30;QUC 3583-2021;760;24.4175;0.2788;23.729;25.0592;100;-3.40E+38;3.40E+38
31;QUC 3211-2020;760;24.0426;0.2961;23.4212;24.7933;100;-3.40E+38;3.40E+38
32;QUC 4344-2021;751;23.3129;0.226;22.9222;23.9655;100;-3.40E+38;3.40E+38
33;QUC 4459-2021;740;23.9849;0.2238;23.5226;24.5441;100;-3.40E+38;3.40E+38
34;QUC 4534-2021;740;23.7495;0.1671;23.3885;24.4062;100;-3.40E+38;3.40E+38
35;QUC 3408-2020;750;24.1235;0.1669;23.7097;24.7771;100;-3.40E+38;3.40E+38
36;QUC 3594-2020;751;24.712;0.2537;23.4035;25.2189;100;-3.40E+38;3.40E+38
37;QUC 3559-2020;740;23.3999;0.2401;22.8132;24.0575;100;-3.40E+38;3.40E+38
38;QUC 3546-2022;601;22.6453;0.1663;22.4532;23.2467;100;-3.40E+38;3.40E+38
39;QUC 3502-2020;740;23.3726;0.2106;22.8635;24.2277;100;-3.40E+38;3.40E+38
40;QUC 3658-2020;730;23.1028;0.2843;22.7052;24.2005;100;-3.40E+38;3.40E+38
41;QUC 3448-2017;731;23.8389;0.2555;23.2946;24.6239;100;-3.40E+38;3.40E+38
42;QUC 3306-2019;740;24.1652;0.421;23.4688;25.7261;100;-3.40E+38;3.40E+38
43;QUC 3528-2020;740;23.8236;0.3237;23.3068;24.7868;100;-3.40E+38;3.40E+38
44;QUEULE-INIA;730;23.5989;0.1883;23.251;24.6231;100;-3.40E+38;3.40E+38
45;QUC 3454-2017  ;720;23.0859;0.162;22.7748;23.6338;100;-3.40E+38;3.40E+38
46;QUC 3328-2019;720;23.3655;0.2219;23.0364;24.0878;100;-3.40E+38;3.40E+38
47;QUC 3207-2020;731;24.5779;0.3698;23.3986;25.4804;100;-3.40E+38;3.40E+38
48;QUC 3591-2020;730;23.632;0.2479;23.1446;24.5555;100;-3.40E+38;3.40E+38
49;QUC 3590-2020;720;23.6193;0.3444;22.6382;24.8361;100;-3.40E+38;3.40E+38
50;QUC 3301-2019;720;23.5125;0.6064;22.8479;27.0629;100;-3.40E+38;3.40E+38
51;QUC 4551-2021;720;24.1705;0.5374;23.2349;25.9545;100;-3.40E+38;3.40E+38
52;QUC 3526-2017;720;23.1609;0.3679;22.7173;24.6329;100;-3.40E+38;3.40E+38
53;QUC 3628-2020;730;23.6903;0.3155;22.9799;24.7052;100;-3.40E+38;3.40E+38
