Parc.;Variedad;Image Name;Intensity;Hue;Saturation;Lightness;a*;b*;u*;v*;GA;GGA;CSI
1;QUC 3608-2020;R-001_Plot-001;0.37628475;40.595615;0.27962697;43.83413;-0.4212589;25.874565;11.473726;27.269796;0.014653054;0;100
2;QUC 3516-2022;R-001_Plot-002;0.37280717;46.493954;0.28672826;44.02864;-3.055865;26.758772;8.040496;28.58524;0.024287322;0;100
3;QUC 3555-2020;R-001_Plot-003;0.3815355;40.21269;0.31360453;44.815834;0.24034035;28.518873;13.523091;29.585712;0;0;NaN
4;QUC 4465-2021;R-001_Plot-004;0.36248672;43.2686;0.29060417;42.644184;-1.5618728;26.125135;9.800235;27.392803;0.001116279;0;100
5;QUC 4667-2021;R-001_Plot-005;0.38286844;43.19646;0.2825234;44.83729;-1.6561927;26.715252;10.110743;28.483944;0.011627907;0;100
6;QUC 3586-2016;R-001_Plot-006;0.3884519;33.933525;0.27462214;44.539825;2.9542346;25.47677;16.335875;26.426899;0.001395349;0;100
7;QUC 3528-2017  ;R-001_Plot-007;0.37963507;37.55987;0.29611915;44.1386;1.3928629;26.893118;14.529205;27.83457;0.001384275;0;100
8;QUC 3536-2020;R-001_Plot-008;0.43153867;35.465096;0.28843802;49.56547;2.7122612;28.94848;17.979132;30.688627;0;0;NaN
9;QUC 3220-2020;R-001_Plot-009;0.441506;32.438942;0.27542365;50.176594;4.295235;28.111721;20.138716;29.777283;0;0;NaN
10;QUC 4559-2021;R-001_Plot-010;0.3986496;36.916996;0.28270626;46.03618;1.5383244;26.92273;14.991949;28.31946;9.16E-05;0;100
11;QUC 3309-2019;R-001_Plot-011;0.3658119;41.20777;0.29440576;42.89245;-0.57355523;26.365492;11.328748;27.46171;0.008423366;0;100
12;QUC 3529-2017  ;R-001_Plot-012;0.35549858;36.901142;0.2790838;41.186226;1.270065;24.34217;13.02188;24.970634;0;0;NaN
13;QUC 3612-2020;R-001_Plot-013;0.3916851;34.55851;0.2780959;44.991344;2.713252;25.955732;16.225363;26.995623;0;0;NaN
14;QUC 3526-2017  ;R-001_Plot-014;0.3633163;38.442352;0.29817653;42.412426;0.87951005;26.206238;13.306794;26.910759;0.010265262;0;100
15;QUC 3535-2022;R-001_Plot-015;0.39791128;39.87452;0.28574485;46.262276;0.03530512;27.427052;12.993633;29.111746;0.004416802;0;100
16;QUC 3528-2017;R-001_Plot-016;0.37927067;41.197052;0.26237428;44.0066;-0.91557986;24.885576;10.408319;26.567446;0.030286641;0;100
17;QUC 3448-2017  ;R-001_Plot-017;0.3623544;40.5287;0.26133484;42.051876;-0.6515739;23.879322;10.204778;25.17451;0.051469263;0;100
18;QUC 4637-2021;R-001_Plot-018;0.39296898;42.364384;0.27703255;45.825043;-1.3316487;26.788034;10.70935;28.73381;0.023886786;0;100
19;QUC 3609-2020;R-001_Plot-019;0.38807854;36.8493;0.2936135;44.982807;1.7731497;27.112885;15.279594;28.161747;0;0;NaN
20;QUC 3622-2020;R-001_Plot-020;0.340547;32.970356;0.3016035;39.381977;3.7346513;24.550858;16.395103;24.175428;0;0;NaN
21;QUC 3314-2019;R-001_Plot-021;0.3297442;43.38932;0.29163545;38.90682;-1.5079126;24.302256;8.8226;24.87363;0.014823362;0;100
22;QUC 3209-2020;R-001_Plot-022;0.33795872;43.825703;0.29286695;39.91014;-1.7422248;24.915806;8.821226;25.692638;0.023965915;8.88E-05;99.62962963
23;QUC 3605-2020;R-001_Plot-023;0.36581746;39.53194;0.3037585;42.8558;0.41423482;26.838966;12.920814;27.641344;0.006745961;0;100
24;QUC 4558-2021;R-001_Plot-024;0.3317802;46.75972;0.2708006;39.14281;-2.9628198;23.402206;6.521458;24.479288;0.123380082;0;100
25;QUC 3596-2020;R-001_Plot-025;0.3493189;45.4116;0.29433942;41.36049;-2.4368827;25.82742;8.321412;26.96975;0.020348837;0;100
26;QUC 3527-2022;R-002_Plot-026;0.38811144;37.620964;0.27754635;44.875877;1.0118436;26.069244;13.749984;27.409958;0.015063425;0;100
27;QUC 3556-2020;R-002_Plot-027;0.42092738;35.134;0.2935199;48.434288;2.9845114;28.71296;18.154108;30.145689;8.88E-04;0;100
28;QUC 3537-2022;R-002_Plot-028;0.4017942;35.28608;0.28823817;46.29093;2.6201441;27.311176;16.782078;28.490484;8.88E-05;0;100
29;QUC 3642-2020;R-002_Plot-029;0.38936707;31.033;0.2872274;44.50081;5.025741;26.095182;19.65743;26.515745;0;0;NaN
30;QUC 3583-2021;R-002_Plot-030;0.4459211;31.764132;0.27222592;50.537197;4.6844883;27.991405;20.7337;29.673155;0.00568081;0;100
31;QUC 3211-2020;R-002_Plot-031;0.44501153;34.930866;0.29021293;50.99314;3.1675117;29.740265;19.167524;31.627575;0.001699463;0;100
32;QUC 4344-2021;R-002_Plot-032;0.42607155;33.08696;0.28778213;48.719856;4.137589;28.327345;19.792452;29.645987;0;0;NaN
33;QUC 4459-2021;R-002_Plot-033;0.40941215;36.622578;0.2756343;47.1108;1.5887529;26.949976;15.206695;28.598358;4.51E-04;0;100
34;QUC 4534-2021;R-002_Plot-034;0.4048481;40.080746;0.2743842;46.90683;-0.24234575;26.988764;12.490996;28.95609;0.003515414;0;100
35;QUC 3408-2020;R-002_Plot-035;0.40069976;34.749645;0.2943685;46.184353;3.0968325;27.638193;17.607155;28.639894;0;0;NaN
36;QUC 3594-2020;R-002_Plot-036;0.43418634;35.532845;0.29849148;49.98387;2.940483;29.865936;18.73862;31.528137;0.001081666;0;100
37;QUC 3559-2020;R-002_Plot-037;0.36921906;34.522446;0.26435477;42.36119;2.2306895;23.856226;14.365747;24.659906;0.001090116;0;100
38;QUC 3546-2022;R-002_Plot-038;0.41529146;34.66906;0.26603085;47.4518;2.4930778;26.329304;16.350815;27.954096;3.63E-04;0;100
39;QUC 3502-2020;R-002_Plot-039;0.45394835;31.507048;0.26647395;51.30304;4.7273173;27.896082;20.8579;29.754633;0;0;NaN
40;QUC 3658-2020;R-002_Plot-040;0.43059453;30.669554;0.28071648;48.874905;5.5325656;27.734837;21.709398;28.878231;0;0;NaN
41;QUC 3448-2017;R-002_Plot-041;0.42640713;30.475477;0.27994215;48.396023;5.5810103;27.441586;21.597393;28.499842;0;0;NaN
42;QUC 3306-2019;R-002_Plot-042;0.45753273;30.502754;0.27384657;51.665638;5.688109;28.542212;22.660742;30.205254;0;0;NaN
43;QUC 3528-2020;R-002_Plot-043;0.43209323;32.31169;0.2855044;49.264915;4.61564;28.38427;20.619465;29.72758;0;0;NaN
44;QUEULE-INIA;R-002_Plot-044;0.4123077;31.044117;0.27758873;46.90683;4.9588814;26.610447;20.104961;27.557198;0;0;NaN
45;QUC 3454-2017  ;R-002_Plot-045;0.4403951;35.344013;0.27264416;50.314087;2.4381537;28.173025;17.347532;30.254864;1.86E-04;0;100
46;QUC 3328-2019;R-002_Plot-046;0.3820524;37.081665;0.2940607;44.33988;1.6252275;26.842035;14.876899;27.798063;0.022046512;2.79E-04;98.73417722
47;QUC 3207-2020;R-002_Plot-047;0.39222667;33.73295;0.28587967;45.059563;3.4068704;26.451376;17.457653;27.290735;0;0;NaN
48;QUC 3591-2020;R-002_Plot-048;0.40140796;39.271935;0.28235877;46.555794;0.27954358;27.301105;13.338983;29.029755;0.003375844;0;100
49;QUC 3590-2020;R-002_Plot-049;0.35689878;45.204327;0.27400917;41.948032;-2.4909272;24.867023;7.960985;26.34388;0.038447112;0;100
50;QUC 3301-2019;R-002_Plot-050;0.3326019;44.65967;0.23334706;38.636887;-2.3621445;20.858221;6.3733625;22.0856;0.037152581;0;100
51;QUC 4551-2021;R-003_Plot-051;0.39246693;45.189312;0.27450913;45.970093;-2.645921;26.85964;8.848722;29.09487;0.051049348;0;100
52;QUC 3526-2017;R-003_Plot-052;0.36035553;40.737617;0.28388274;42.10836;-0.46706307;25.302746;11.003501;26.352917;0.001781695;0;100
53;QUC 3628-2020;R-003_Plot-053;0.37810755;42.102604;0.30731547;44.526825;-0.8622097;28.076488;11.719811;29.369322;0.003844711;0;100
