Parc.;Variedad;Image Name;Intensity;Hue;Saturation;Lightness;a*;b*;u*;v*;GA;GGA;CSI
1;QUC 3608-2020;R-001_Plot-001;0.55896664;119.15105;0.028286815;60.924862;-10.05174;12.718928;-7.403518;18.02874;0.961492537;0.874825871;9.013763841
2;QUC 3516-2022;R-001_Plot-002;0.5638773;136.68301;0.05048555;61.703167;-12.059113;12.364348;-10.4155445;18.024422;0.98318408;0.967761194;1.568667139
3;QUC 3555-2020;R-001_Plot-003;0.62272483;103.51272;0.027562737;66.70029;-8.465156;12.9678135;-5.077779;18.429142;0.950646766;0.795621891;16.30730584
4;QUC 4465-2021;R-001_Plot-004;0.61293983;120.15214;0.026797712;66.22864;-10.597724;13.401743;-7.9332414;19.332909;0.975238095;0.908170426;6.877055921
5;QUC 4667-2021;R-001_Plot-005;0.6245025;129.48073;0.022772431;66.70957;-8.820456;11.570384;-6.30743;16.764425;0.912380952;0.836591479;8.306779475
6;QUC 3586-2016;R-001_Plot-006;0.6559811;141.71559;0.009680152;68.87153;-6.0178666;9.744517;-3.2126892;14.040227;0.485814536;0.442105263;8.997111019
7;QUC 3528-2017  ;R-001_Plot-007;0.62740254;108.93688;0.0238657;67.09999;-8.53691;12.647648;-5.3484545;18.072706;0.942656642;0.71197995;24.47091354
8;QUC 3536-2020;R-001_Plot-008;0.63886756;59.79346;0.03477639;67.72982;-5.491477;13.097589;-0.6566967;18.085688;0.585050505;0.190808081;67.38604972
9;QUC 3220-2020;R-001_Plot-009;0.6270969;59.030956;0.030363142;66.472145;-5.228456;12.371339;-0.65556353;17.06376;0.580909091;0.134141414;76.90836376
10;QUC 4559-2021;R-001_Plot-010;0.56659;94.57882;0.03337866;61.20292;-7.613718;12.573354;-4.0130544;17.420675;0.907575758;0.59979798;33.91207568
11;QUC 3309-2019;R-001_Plot-011;0.52352715;101.74586;0.05262661;57.889954;-10.3619175;14.633454;-6.8773403;20.098394;0.950636132;0.781170483;17.82655246
12;QUC 3529-2017  ;R-001_Plot-012;0.5092586;91.32541;0.039740503;55.594574;-7.28749;12.272831;-3.6651008;16.586142;0.837676768;0.542121212;35.2827686
13;QUC 3612-2020;R-001_Plot-013;0.5169582;57.870422;0.051638603;56.050133;-4.9839826;12.8348255;-0.13264921;16.851955;0.555012723;0.197659033;64.3865762
14;QUC 3526-2017  ;R-001_Plot-014;0.4989296;65.59606;0.07067537;54.7831;-6.161378;14.599352;-0.96396947;18.986214;0.646717557;0.213435115;66.99716714
15;QUC 3535-2022;R-001_Plot-015;0.50645304;66.07657;0.07183856;55.591476;-6.3108106;14.897478;-1.0282477;19.430363;0.640508906;0.260254453;59.36755125
16;QUC 3528-2017;R-001_Plot-016;0.47518837;99.6398;0.05539024;52.9118;-9.541371;13.795971;-6.049871;18.51631;0.893333333;0.694769231;22.22732491
17;QUC 3448-2017  ;R-001_Plot-017;0.4777585;98.253525;0.05321902;53.045284;-9.120199;13.526728;-5.595566;18.147062;0.922153846;0.701333333;23.94616839
18;QUC 4637-2021;R-001_Plot-018;0.5214403;97.94104;0.050454617;57.433453;-9.401993;14.0965395;-5.7767887;19.256987;0.916512821;0.705641026;23.0080573
