Parc.;Variedad;Image Name;Intensity;Hue;Saturation;Lightness;a*;b*;u*;v*;GA;GGA;CSI
1;QUC 3608-2020;R-001_Plot-001;0.4404675;40.683662;0.27539486;50.883286;-0.5211272;29.012136;13.278108;31.743685;2.82E-04;0;100
2;QUC 3516-2022;R-001_Plot-002;0.38651362;41.621536;0.2818352;45.09787;-0.90145946;26.688063;11.21984;28.377092;9.86E-04;0;100
3;QUC 3555-2020;R-001_Plot-003;0.43090138;37.74804;0.28722608;49.712887;1.30944;29.087725;15.928178;31.13922;5.63E-04;0;100
4;QUC 4465-2021;R-001_Plot-004;0.3854737;38.41029;0.31166697;45.0553;1.2425903;28.404705;14.9870825;29.354572;7.04E-04;0;100
5;QUC 4667-2021;R-001_Plot-005;0.38285398;36.851757;0.26572978;44.08147;1.1889999;24.869936;13.453481;26.152416;7.04E-04;0;100
6;QUC 3586-2016;R-001_Plot-006;0.39987084;35.820957;0.2684232;45.899727;1.827274;25.832743;14.979033;27.291176;2.82E-04;0;100
7;QUC 3528-2017  ;R-001_Plot-007;0.39951286;38.309113;0.2851355;46.28684;0.8616387;27.291435;14.1626835;28.834429;4.22E-04;0;100
8;QUC 3536-2020;R-001_Plot-008;0.433194;32.459908;0.2790866;49.32078;4.34372;27.955126;20.037905;29.427544;1.41E-04;0;100
9;QUC 3220-2020;R-001_Plot-009;0.43580914;31.177597;0.26557666;49.32078;4.7165914;26.901165;20.176765;28.424736;2.82E-04;0;100
10;QUC 4559-2021;R-001_Plot-010;0.40494755;35.276752;0.26922786;46.417534;2.1782124;26.096132;15.664628;27.57143;8.45E-04;0;100
11;QUC 3309-2019;R-001_Plot-011;0.3922504;40.253136;0.28117675;45.612453;-0.25264984;26.832489;12.274705;28.500206;9.86E-04;0;100
12;QUC 3529-2017  ;R-001_Plot-012;0.39668015;37.29638;0.28981358;45.937;1.4726486;27.37914;15.057048;28.693846;0;0;NaN
