Parc.;Variedad;Image Name;Intensity;Hue;Saturation;Lightness;a*;b*;u*;v*;GA;GGA;CSI
1;QUC 3608-2020;R-001_Plot-001;0.61356825;28.83499;0.19955552;66.584045;4.9386873;28.319973;22.9777;33.003304;1.54E-04;0;100
2;QUC 3516-2022;R-001_Plot-002;0.5283052;26.441057;0.21991676;57.9916;6.828399;26.66046;24.38308;29.494627;1.54E-04;0;100
3;QUC 3555-2020;R-001_Plot-003;0.54131716;24.94734;0.20311797;58.976135;7.0409074;25.476091;24.27042;28.45035;0;0;NaN
4;QUC 4465-2021;R-001_Plot-004;0.53300166;27.744572;0.22261232;58.64134;6.123226;27.263887;23.612822;30.349903;1.54E-04;0;100
5;QUC 4667-2021;R-001_Plot-005;0.5276831;26.510714;0.20414627;57.770523;5.9254646;25.250881;22.28306;28.266306;1.55E-04;0;100
6;QUC 3586-2016;R-001_Plot-006;0.54223853;26.496746;0.20192665;59.221073;5.9618115;25.604624;22.649132;28.850767;1.55E-04;0;100
7;QUC 3528-2017  ;R-001_Plot-007;0.56222063;28.65531;0.19973534;61.433994;4.693477;26.412973;21.233845;30.295282;3.11E-04;0;100
8;QUC 3536-2020;R-001_Plot-008;0.5346099;27.149609;0.20231658;58.51859;5.5007896;25.4252;21.771046;28.654633;1.55E-04;0;100
9;QUC 3220-2020;R-001_Plot-009;0.5106848;26.189342;0.20561028;56.01953;6.0437055;24.695175;22.032013;27.397547;0;0;NaN
10;QUC 4559-2021;R-001_Plot-010;0.5160119;27.13323;0.20781499;56.67779;5.6379647;25.200857;21.69907;28.093351;1.57E-04;0;100
11;QUC 3309-2019;R-001_Plot-011;0.5359576;29.201544;0.20647198;58.911114;4.4509344;26.109629;20.478304;29.62459;4.70E-04;0;100
12;QUC 3529-2017  ;R-001_Plot-012;0.5306168;27.323074;0.21258658;58.24019;5.888659;26.21752;22.720646;29.308004;1.57E-04;0;100
13;QUC 3612-2020;R-001_Plot-013;0.55077964;27.404226;0.20891231;60.256294;5.8279567;26.673319;23.03826;30.11638;3.16E-04;0;100
14;QUC 3526-2017  ;R-001_Plot-014;0.53791773;28.92311;0.2265467;59.313564;5.586464;27.966152;23.152882;31.268957;0;0;NaN
15;QUC 3535-2022;R-001_Plot-015;0.5368411;27.959028;0.2187928;59.010014;5.853736;27.099003;23.149685;30.313782;3.16E-04;0;100
16;QUC 3528-2017;R-001_Plot-016;0.5570927;29.09754;0.21117264;61.09888;4.912499;27.346497;21.981829;31.12532;1.58E-04;0;100
17;QUC 3448-2017  ;R-001_Plot-017;0.5630616;28.042496;0.21228188;61.603107;5.6983523;27.548458;23.371212;31.241896;0;0;NaN
18;QUC 4637-2021;R-001_Plot-018;0.52354676;27.629799;0.21687686;57.597977;5.842914;26.35076;22.643406;29.335487;3.19E-04;0;100
19;QUC 3609-2020;R-001_Plot-019;0.55072314;28.485918;0.21480018;60.43065;5.4283056;27.353172;22.736723;30.905014;0;0;NaN
20;QUC 3622-2020;R-001_Plot-020;0.53570014;27.625547;0.20900792;58.752323;5.5501776;26.127907;22.197767;29.380486;1.61E-04;0;100
21;QUC 3314-2019;R-001_Plot-021;0.52681303;29.233793;0.22399986;58.182526;5.1645007;27.318369;22.076124;30.525812;1.61E-04;0;100
22;QUC 3209-2020;R-001_Plot-022;0.5541386;29.831879;0.22398037;61.03472;4.9988794;28.514221;22.645847;32.243237;0;0;NaN
23;QUC 3605-2020;R-001_Plot-023;0.53262454;27.036625;0.21501338;58.441303;6.2146945;26.470093;23.372286;29.52061;3.22E-04;0;100
24;QUC 4558-2021;R-001_Plot-024;0.51525927;25.749754;0.21423382;56.530197;6.8233495;25.559187;23.708532;28.165401;0;0;NaN
25;QUC 3596-2020;R-001_Plot-025;0.5343647;29.165472;0.22493929;58.959183;5.308273;27.709164;22.559776;31.015387;1.62E-04;0;100
