Parc.;Variedad;Area;Mean;StdDev;Min;Max;%Area;MinThr;MaxThr
1;QUC 3608-2020;594;35.8643;0.9843;33.9852;38.8889;100;-3.40E+38;3.40E+38
2;QUC 3516-2022;594;36.5806;1.1456;34.5375;42.761;100;-3.40E+38;3.40E+38
3;QUC 3555-2020;594;37.6401;1.1368;35.3112;42.2344;100;-3.40E+38;3.40E+38
4;QUC 4465-2021;583;37.0435;1.4799;34.7721;42.8173;100;-3.40E+38;3.40E+38
5;QUC 4667-2021;585;37.1056;0.9163;35.4696;40.376;100;-3.40E+38;3.40E+38
6;QUC 3586-2016;565;39.5169;1.4829;36.4962;42.8371;100;-3.40E+38;3.40E+38
7;QUC 3528-2017  ;587;39.0301;1.2427;36.7476;42.8798;100;-3.40E+38;3.40E+38
8;QUC 3536-2020;591;40.0412;0.9661;37.7594;42.6902;100;-3.40E+38;3.40E+38
9;QUC 3220-2020;530;40.3664;1.1674;38.1538;42.8983;100;-3.40E+38;3.40E+38
10;QUC 4559-2021;582;39.452;1.2084;35.9975;42.7462;100;-3.40E+38;3.40E+38
11;QUC 3309-2019;568;38.7063;1.5029;35.9925;42.7519;100;-3.40E+38;3.40E+38
12;QUC 3529-2017  ;558;38.8474;1.4492;35.5128;42.8808;100;-3.40E+38;3.40E+38
13;QUC 3612-2020;557;39.4343;1.4713;37.0111;42.8388;100;-3.40E+38;3.40E+38
14;QUC 3526-2017  ;537;39.5383;1.2138;37.0284;42.8825;100;-3.40E+38;3.40E+38
15;QUC 3535-2022;531;39.556;1.5294;36.7329;42.8886;100;-3.40E+38;3.40E+38
16;QUC 3528-2017;569;39.1632;1.7779;34.8053;42.7644;100;-3.40E+38;3.40E+38
17;QUC 3448-2017  ;571;38.4143;1.5313;34.9214;42.7413;100;-3.40E+38;3.40E+38
18;QUC 4637-2021;576;37.2842;1.3685;34.7962;41.3981;100;-3.40E+38;3.40E+38
19;QUC 3609-2020;574;38.7426;1.2674;36.0131;42.8189;100;-3.40E+38;3.40E+38
20;QUC 3622-2020;576;38.2481;1.3736;35.4824;42.8778;100;-3.40E+38;3.40E+38
21;QUC 3314-2019;585;36.1814;1.7555;33.1625;41.6912;100;-3.40E+38;3.40E+38
22;QUC 3209-2020;585;36.5276;1.4457;33.6226;41.232;100;-3.40E+38;3.40E+38
23;QUC 3605-2020;572;38.0415;1.9957;33.8867;42.9055;100;-3.40E+38;3.40E+38
24;QUC 4558-2021;573;37.1572;1.679;34.031;42.5866;100;-3.40E+38;3.40E+38
25;QUC 3596-2020;576;35.2651;1.1179;33.4417;41.0278;100;-3.40E+38;3.40E+38
26;QUC 3527-2022;564;38.0523;1.9917;33.9416;42.9105;100;-3.40E+38;3.40E+38
27;QUC 3556-2020;570;39.613;1.4855;34.9983;42.768;100;-3.40E+38;3.40E+38
28;QUC 3537-2022;493;39.684;1.4571;36.5608;42.8613;100;-3.40E+38;3.40E+38
