Parc.;Variedad;Area;Mean;StdDev;Min;Max;%Area;MinThr;MaxThr
1;QUC 3608-2020;576;30.2971;1.6006;27.0075;35.1677;100;-3.40E+38;3.40E+38
2;QUC 3516-2022;576;28.9592;1.1258;26.1706;32.2603;100;-3.40E+38;3.40E+38
3;QUC 3555-2020;576;30.1652;1.1496;26.9249;33.6643;100;-3.40E+38;3.40E+38
4;QUC 4465-2021;585;29.179;1.2725;26.8058;33.8901;100;-3.40E+38;3.40E+38
5;QUC 4667-2021;594;30.7524;1.3456;27.6332;34.8016;100;-3.40E+38;3.40E+38
6;QUC 3586-2016;594;33.483;1.7935;29.8;38.3607;100;-3.40E+38;3.40E+38
7;QUC 3528-2017  ;585;32.0943;1.2388;29.403;37.2156;100;-3.40E+38;3.40E+38
8;QUC 3536-2020;576;33.9232;1.4789;30.3286;37.8052;100;-3.40E+38;3.40E+38
9;QUC 3220-2020;562;35.1614;1.7617;32.0461;40.3747;100;-3.40E+38;3.40E+38
10;QUC 4559-2021;585;34.1722;1.47;30.2271;37.5296;100;-3.40E+38;3.40E+38
11;QUC 3309-2019;594;32.7862;1.9819;29.198;39.1921;100;-3.40E+38;3.40E+38
12;QUC 3529-2017  ;593;33.1857;1.8237;28.8025;40.3855;100;-3.40E+38;3.40E+38
13;QUC 3612-2020;594;34.0732;1.7239;30.7229;39.7862;100;-3.40E+38;3.40E+38
14;QUC 3526-2017  ;588;34.1177;1.9721;30.1539;40.3487;100;-3.40E+38;3.40E+38
15;QUC 3535-2022;591;34.4249;2.0449;30.0717;40.2729;100;-3.40E+38;3.40E+38
16;QUC 3528-2017;603;33.8907;2.1042;28.4393;39.3974;100;-3.40E+38;3.40E+38
17;QUC 3448-2017  ;610;33.5282;2.1083;28.2336;40.0719;100;-3.40E+38;3.40E+38
18;QUC 4637-2021;612;32.1898;1.7583;28.878;37.0569;100;-3.40E+38;3.40E+38
19;QUC 3609-2020;603;33.694;1.293;30.8033;37.1573;100;-3.40E+38;3.40E+38
