Parc.;Variedad;Area;Mean;Min;Max
1;QUC 3608-2020;479;41.19;38.522;45.153
2;QUC 3516-2022;499;41.77;39.614;45.149
3;QUC 3555-2020;508;42.484;38.734;45.145
4;QUC 4465-2021;520;41.149;38.402;44.992
5;QUC 4667-2021;514;42.18;39.242;45.145
6;QUC 3586-2016;400;43.03;40.105;45.144
7;QUC 3528-2017  ;489;42.832;40.007;45.145
8;QUC 3536-2020;330;43.543;41.408;45.147
9;QUC 3220-2020;343;43.238;41.042;45.126
10;QUC 4559-2021;444;43.025;39.657;45.125
11;QUC 3309-2019;486;41.932;38.779;45.153
12;QUC 3529-2017  ;415;42.906;38.696;45.081
13;QUC 3612-2020;376;42.836;39.687;45.151
14;QUC 3526-2017  ;402;43.024;39.719;45.156
15;QUC 3535-2022;355;42.957;39.5;45.155
16;QUC 3528-2017;389;42.177;37.694;45.134
17;QUC 3448-2017  ;317;42.051;37.451;45.156
18;QUC 4637-2021;470;42.506;39.198;45.099
19;QUC 3609-2020;414;43.205;39.913;45.149
20;QUC 3622-2020;510;41.988;39.315;45.123
21;QUC 3314-2019;576;39.402;37.726;44.989
22;QUC 3209-2020;558;40.281;36.94;45.033
23;QUC 3605-2020;462;41.959;38.955;45.14
24;QUC 4558-2021;478;41.532;38.512;45.153
25;QUC 3596-2020;556;39.661;36.12;45.124
26;QUC 3527-2022;492;41.125;36.783;45.129
27;QUC 3556-2020;451;42.251;36.468;45.073
28;QUC 3537-2022;430;42.415;37.866;45.119
29;QUC 3642-2020;381;42.74;39.139;45.137
30;QUC 3583-2021;374;42.748;38.368;45.152
31;QUC 3211-2020;446;42.75;39.392;45.153
32;QUC 4344-2021;487;42.747;39.938;45.155
33;QUC 4459-2021;510;41.494;38.031;45.155
34;QUC 4534-2021;416;41.395;38.06;45.154
35;QUC 3408-2020;302;43.548;39.297;45.156
36;QUC 3594-2020;350;43.216;40.959;45.074
37;QUC 3559-2020;374;42.762;38.08;45.124
38;QUC 3546-2022;348;42.459;37.982;45.155
39;QUC 3502-2020;197;43.979;41.734;45.156
40;QUC 3658-2020;174;44.292;42.101;45.153
41;QUC 3448-2017;254;43.264;40.609;45.154
42;QUC 3306-2019;212;44.07;42.363;45.145
43;QUC 3528-2020;233;44.119;41.59;45.145
44;QUEULE-INIA;293;44.214;42.655;45.147
45;QUC 3454-2017  ;354;43.426;40.985;45.155
46;QUC 3328-2019;292;43.606;40.374;45.137
47;QUC 3207-2020;278;44.241;42.473;45.153
48;QUC 3591-2020;487;42.224;39.766;45.094
49;QUC 3590-2020;505;40.856;38.898;44.959
50;QUC 3301-2019;527;40.339;38.057;43.57
51;QUC 4551-2021;357;41.71;38.302;45.136
52;QUC 3526-2017;360;42.696;39.839;45.142
53;QUC 3628-2020;372;42.831;40.389;45.14
54;QUC 3607-2020;507;42.289;39.839;45.071
55;QUC 3305-2019;523;40.691;38.316;45.099
56;QUC 3492-2018;450;42.46;38.83;45.156
57;QUC 3527-2020;281;43.285;40.472;45.149
58;QUC 3619-2020;439;43.51;38.989;45.152
59;QUC 3534-2018;519;42.132;39.083;45.155
60;QUC 3312-2019;527;42.018;38.045;45.124
61;QUC 4535-2021;531;42.144;39.513;45.116
62;QUC 3702-2020;488;42.355;39.036;45.146
63;QUC 3617-2020;410;42.061;38.448;45.153
64;QUC 3653-2020;466;41.225;36.921;45.122
65;QUC 3532-2018;496;41.144;37.608;45.128
66;QUC 3593-2017;446;41.765;38.858;45.153
67;QUC 3555-2017  ;299;43.125;39.823;45.156
68;QUC 4425-2021;407;43.031;39.187;45.153
69;QUC 4542-2021;485;41.695;37.306;45.152
70;QUC 3221-2020;363;43.149;40.403;45.154
71;QUC 3413-2020;385;43.241;40.097;45.145
72;QUC 3210-2020;59;43.944;40.348;45.15
73;QUC 3556-2018;326;43.398;41.001;45.152
74;QUC 3677-2020;499;41.918;38.251;45.137
75;QUC 3517-2017;571;40.296;36.72;44.925
76;QUC 3592-2020;476;42.258;38.408;45.155
77;QUC 3425-2020;355;42.564;38.216;45.153
78;LLEUQUE-INIA;331;41.9;36.5;45.153
79;QUC 3522-2022;281;41.822;36.522;45.153
80;QUC 4592-2021;437;42.074;36.967;45.155
81;QUC 3603-2020;468;40.971;36.923;45.144
82;QUC 3616-2020;458;41.632;37.42;45.155
83;QUC 3606-2020;493;41.258;36.551;45.151
84;QUC 4552-2021;399;41.428;36.521;45.156
85;QUC 3555-2017  ;560;39.86;35.494;44.744
86;QUC 3582-2020;559;38.55;35.986;44.721
87;QUC 3678-2020;561;39.752;36.319;44.149
88;QUC 3625-2020;457;40.526;36.252;45.135
89;QUC 3401-2020;492;40.625;36.52;45.056
90;QUC 3543-2020;539;40.465;37.386;45.154
91;QUC 3632-2021;420;43.085;38.497;45.137
92;QUC 4600-2021;544;39.536;35.593;44.024
93;QUC 3584-2018;527;41.39;37.852;45.154
94;QUC 4605-2021;533;40.333;37.227;45.143
95;QUC 3521-2020;481;42.417;37.561;45.157
96;QUC 3525-2022;524;39.728;37.549;44.196
97;QUC 3326-2019;519;40.634;38.142;44.939
98;QUC 3317-2019;524;42.041;39.439;45.145
99;QUC 3547-2022;511;42.607;40.05;45.153
