Parc.;Variedad;Area;Mean;StdDev;Min;Max;%Area;MinThr;MaxThr
1;QUC 3608-2020;493;44.622;2.3323;39.3841;53.3031;100;-3.40E+38;3.40E+38
2;QUC 3516-2022;496;45.3242;2.0376;40.8702;51.983;100;-3.40E+38;3.40E+38
3;QUC 3555-2020;496;45.4462;2.1329;39.9585;50.3659;100;-3.40E+38;3.40E+38
4;QUC 4465-2021;496;44.1323;1.392;40.4747;48.1;100;-3.40E+38;3.40E+38
5;QUC 4667-2021;494;45.4964;2.1678;41.3457;54.2606;100;-3.40E+38;3.40E+38
6;QUC 3586-2016;495;47.9189;2.5023;42.8157;54.1346;100;-3.40E+38;3.40E+38
7;QUC 3528-2017  ;488;47.3158;2.1252;42.676;53.0039;100;-3.40E+38;3.40E+38
8;QUC 3536-2020;474;48.8673;2.375;43.4407;54.0975;100;-3.40E+38;3.40E+38
9;QUC 3220-2020;456;48.9705;2.2183;44.1645;54.2675;100;-3.40E+38;3.40E+38
10;QUC 4559-2021;472;49.0176;2.5563;42.7576;54.1735;100;-3.40E+38;3.40E+38
11;QUC 3309-2019;477;45.7608;2.5367;41.0097;52.3338;100;-3.40E+38;3.40E+38
12;QUC 3529-2017  ;475;47.198;2.6157;40.942;53.9;100;-3.40E+38;3.40E+38
13;QUC 3612-2020;451;48.4388;2.3253;44.0339;54.2513;100;-3.40E+38;3.40E+38
14;QUC 3526-2017  ;477;48.1235;2.43;42.2261;54.2288;100;-3.40E+38;3.40E+38
15;QUC 3535-2022;475;48.8768;2.3123;43.8815;54.2597;100;-3.40E+38;3.40E+38
16;QUC 3528-2017;478;49.388;2.5859;41.3861;54.2344;100;-3.40E+38;3.40E+38
17;QUC 3448-2017  ;450;49.2407;2.8468;42.1544;54.2264;100;-3.40E+38;3.40E+38
18;QUC 4637-2021;470;48.9058;2.7964;43.1481;54.2001;100;-3.40E+38;3.40E+38
19;QUC 3609-2020;471;47.7337;2.7085;42.1482;54.2114;100;-3.40E+38;3.40E+38
20;QUC 3622-2020;464;45.3382;1.8176;41.7848;50.0209;100;-3.40E+38;3.40E+38
21;QUC 3314-2019;464;43.1002;1.4797;40.2148;49.3468;100;-3.40E+38;3.40E+38
22;QUC 3209-2020;460;44.6098;2.5659;40.5037;53.7641;100;-3.40E+38;3.40E+38
23;QUC 3605-2020;463;45.9254;2.3;42.6452;54.2438;100;-3.40E+38;3.40E+38
24;QUC 4558-2021;463;47.2953;2.3017;41.991;53.7119;100;-3.40E+38;3.40E+38
25;QUC 3596-2020;403;44.0625;2.3278;39.3112;48.7837;100;-3.40E+38;3.40E+38
26;QUC 3527-2022;436;46.766;3.2714;40.0057;54.0859;100;-3.40E+38;3.40E+38
27;QUC 3556-2020;464;47.8746;2.1994;43.0156;52.8917;100;-3.40E+38;3.40E+38
28;QUC 3537-2022;442;48.3497;2.5238;43.1561;54.1531;100;-3.40E+38;3.40E+38
29;QUC 3642-2020;445;49.0795;2.4205;42.5315;54.0178;100;-3.40E+38;3.40E+38
30;QUC 3583-2021;420;49.4123;2.9382;40.0497;54.2293;100;-3.40E+38;3.40E+38
31;QUC 3211-2020;464;47.4452;2.2677;42.7446;53.3672;100;-3.40E+38;3.40E+38
32;QUC 4344-2021;471;46.8556;1.7998;41.8819;54.0605;100;-3.40E+38;3.40E+38
33;QUC 4459-2021;480;45.6045;2.575;40.8185;52.2514;100;-3.40E+38;3.40E+38
34;QUC 4534-2021;480;44.8226;2.7463;40.1662;53.4284;100;-3.40E+38;3.40E+38
35;QUC 3408-2020;418;49.2093;2.1436;44.1612;54.2167;100;-3.40E+38;3.40E+38
36;QUC 3594-2020;470;47.7602;1.9405;43.5319;54.2492;100;-3.40E+38;3.40E+38
37;QUC 3559-2020;473;47.9205;2.0827;43.7612;54.1714;100;-3.40E+38;3.40E+38
38;QUC 3546-2022;475;48.4763;2.8221;42.8399;54.2016;100;-3.40E+38;3.40E+38
39;QUC 3502-2020;450;50.269;2.16;45.7668;54.1151;100;-3.40E+38;3.40E+38
40;QUC 3658-2020;455;49.5796;1.9949;45.3734;54.2444;100;-3.40E+38;3.40E+38
41;QUC 3448-2017;446;49.748;2.2303;44.5464;54.2637;100;-3.40E+38;3.40E+38
42;QUC 3306-2019;473;49.5195;2.0592;45.1575;54.1485;100;-3.40E+38;3.40E+38
43;QUC 3528-2020;476;48.8568;1.9907;41.4559;53.7567;100;-3.40E+38;3.40E+38
44;QUEULE-INIA;488;48.7987;1.6945;44.4634;52.8671;100;-3.40E+38;3.40E+38
45;QUC 3454-2017  ;493;48.2453;1.7348;44.1298;53.8228;100;-3.40E+38;3.40E+38
46;QUC 3328-2019;496;47.371;2.2238;41.3779;53.6772;100;-3.40E+38;3.40E+38
47;QUC 3207-2020;480;48.9451;1.7224;44.7552;54.2523;100;-3.40E+38;3.40E+38
48;QUC 3591-2020;496;45.4394;2.2451;41.5629;52.6762;100;-3.40E+38;3.40E+38
49;QUC 3590-2020;496;43.9056;2.0491;39.7411;51.4882;100;-3.40E+38;3.40E+38
50;QUC 3301-2019;496;44.1024;1.8708;40.4827;49.8351;100;-3.40E+38;3.40E+38
51;QUC 4551-2021;482;45.4375;3.3091;39.2719;53.9608;100;-3.40E+38;3.40E+38
52;QUC 3526-2017;496;46.2757;2.4883;40.8901;53.1214;100;-3.40E+38;3.40E+38
