Parc.;Variedad;Image Name;Intensity;Hue;Saturation;Lightness;a*;b*;u*;v*;GA;GGA;CSI
1;QUC 3608-2020;R-001_Plot-001;0.40598348;86.3623;0.22867328;49.94738;-17.179127;27.959364;-10.835835;33.85651;0.977692308;0.928241758;5.05788468
2;QUC 3516-2022;R-001_Plot-002;0.345402;91.8233;0.26404732;44.33988;-19.378672;28.218529;-13.544173;32.953674;0.977692308;0.971208791;0.66314488
3;QUC 3555-2020;R-001_Plot-003;0.3239219;85.232506;0.34042048;42.685707;-18.835548;31.414345;-11.924977;34.840652;0.977472527;0.884175824;9.544688027
4;QUC 4465-2021;R-001_Plot-004;0.279375;88.73245;0.30989176;36.713646;-17.148142;26.485607;-10.984763;28.7325;0.977582418;0.940879121;3.754496403
5;QUC 4667-2021;R-001_Plot-005;0.28865942;89.796234;0.29375213;37.684223;-17.344816;26.23522;-11.327341;28.907558;0.977632297;0.958319694;1.975446429
6;QUC 3586-2016;R-001_Plot-006;0.23888214;93.76145;0.28128934;31.345613;-15.963049;22.333378;-10.396341;23.56061;0.977582418;0.976703297;0.089928058
7;QUC 3528-2017  ;R-001_Plot-007;0.25730765;98.86854;0.31632382;35.30492;-21.05141;26.80146;-15.46838;29.106167;0.977582418;0.977252747;0.033723022
8;QUC 3536-2020;R-001_Plot-008;0.3164228;89.28692;0.33091736;42.070713;-20.196833;30.825315;-13.797268;34.42178;0.977472527;0.961868132;1.596402473
9;QUC 3220-2020;R-001_Plot-009;0.28310582;92.50805;0.3149417;37.80516;-19.319044;27.66874;-13.362815;30.375553;0.977472527;0.977032967;0.044969084
10;QUC 4559-2021;R-001_Plot-010;0.2394027;95.38582;0.3480596;33.054077;-19.661896;26.62875;-13.71703;27.879713;0.977741408;0.977632297;0.011159469
11;QUC 3309-2019;R-001_Plot-011;0.40031663;89.53982;0.2871244;51.383564;-21.951002;33.38034;-15.553047;39.8255;0.977741408;0.977414075;0.033478406
12;QUC 3529-2017  ;R-001_Plot-012;0.2244779;97.58647;0.3523218;31.37393;-19.89901;25.92218;-13.996278;26.746088;0.977741408;0.977414075;0.033478406
13;QUC 3612-2020;R-001_Plot-013;0.26440173;91.920334;0.30424267;35.01372;-17.56619;25.45469;-11.682594;27.433268;0.977414075;0.962793235;1.495869614
14;QUC 3526-2017  ;R-001_Plot-014;0.20565109;93.52978;0.3687445;28.452377;-17.35264;24.370487;-11.247393;24.083673;0.977356446;0.977139762;0.022170491
15;QUC 3535-2022;R-001_Plot-015;0.3046511;95.8999;0.2857588;40.34861;-20.653324;27.788446;-15.0944805;31.572823;0.977789816;0.977464789;0.033240997
16;QUC 3528-2017;R-001_Plot-016;0.29822364;94.90916;0.341205;40.834484;-22.799112;31.134472;-16.899858;34.65279;0.977741408;0.977632297;0.011159469
17;QUC 3448-2017  ;R-001_Plot-017;0.26534736;96.54242;0.29145616;35.43729;-19.112736;25.40314;-13.554193;27.800282;0.977741408;0.977414075;0.033478406
18;QUC 4637-2021;R-001_Plot-018;0.35623264;92.611664;0.24495131;45.229446;-19.11342;27.431343;-13.46513;32.501095;0.977523186;0.97512275;0.245563121
19;QUC 3609-2020;R-001_Plot-019;0.27833256;93.479095;0.26393694;36.08914;-17.023327;23.988396;-11.48145;26.579168;0.977464789;0.976814735;0.066504101
20;QUC 3622-2020;R-001_Plot-020;0.2173379;102.10131;0.25853503;28.866356;-16.904371;20.520336;-11.696632;21.499754;0.977464789;0.977356446;0.011084017
21;QUC 3314-2019;R-001_Plot-021;0.28087017;103.99395;0.2579289;37.662178;-21.66977;25.447206;-16.741787;29.01167;0.977681473;0.977464789;0.022163121
22;QUC 3209-2020;R-001_Plot-022;0.27552837;126.04245;0.15106207;34.70681;-18.187899;16.24845;-15.015918;19.793695;0.974972914;0.974972914;0
23;QUC 3605-2020;R-001_Plot-023;0.2991931;138.02045;0.17991686;36.963882;-18.63094;14.002073;-16.546116;18.170574;0.977729962;0.977729962;0
24;QUC 4558-2021;R-001_Plot-024;0.2384712;138.30643;0.2150687;30.169104;-17.828176;13.11203;-14.93308;15.890373;0.977729962;0.977729962;0
25;QUC 3596-2020;R-001_Plot-025;0.30338654;119.5695;0.14068079;38.652836;-20.278238;19.504927;-16.890673;24.004005;0.976498911;0.976498911;0
26;QUC 3527-2022;R-002_Plot-026;0.34167656;142.52419;0.20370871;42.155346;-21.40522;14.702295;-20.24154;20.180899;0.97672819;0.97672819;0
27;QUC 3556-2020;R-002_Plot-027;0.30414805;129.10555;0.16768813;38.42329;-20.391773;17.385685;-17.66525;22.001106;0.977729962;0.977729962;0
