Parc.;Variedad ;Image Name;Intensity;Hue;Saturation;Lightness;a*;b*;u*;v*;GA;GGA;CSI
1;QUC 3608-2020;R-001_Plot-001;0.44962743;101.15246;0.13122308;53.234615;-17.319815;22.070896;-13.186503;28.904295;0.982588567;0.982487923;0.010242753
2;QUC 3516-2022;R-001_Plot-002;0.43787193;117.662544;0.10270822;52.423523;-20.245049;20.52655;-17.618895;27.698444;0.976348631;0.976247987;0.010308216
3;QUC 3555-2020;R-001_Plot-003;0.38996887;109.16102;0.1452319;47.913795;-20.05532;22.315208;-16.457186;28.642557;0.976046699;0.975946055;0.010311404
4;QUC 4465-2021;R-001_Plot-004;0.34338644;111.88516;0.14501232;42.72257;-19.226645;20.591887;-15.639583;25.758821;0.974134461;0.974134461;0
5;QUC 4667-2021;R-001_Plot-005;0.3268797;99.30574;0.20080107;41.171658;-17.966307;22.997528;-13.200058;27.367361;0.982664234;0.982664234;0
6;QUC 3586-2016;R-001_Plot-006;0.33921328;128.11377;0.13399899;41.576836;-18.887455;16.65063;-16.46171;21.657965;0.944140308;0.944038929;0.010737679
7;QUC 3528-2017  ;R-001_Plot-007;0.27707383;126.911476;0.19469023;36.29897;-22.086086;19.17069;-18.794813;23.414171;0.978203569;0.97810219;0.010363768
8;QUC 3536-2020;R-001_Plot-008;0.32020593;104.1669;0.22336704;41.682014;-21.513956;25.315243;-16.9235;30.11314;0.982765612;0.982765612;0
9;QUC 3220-2020;R-001_Plot-009;0.30558452;105.64592;0.19705105;39.17934;-19.411324;22.434473;-15.01319;26.59684;0.982638889;0.982536765;0.01039285
10;QUC 4559-2021;R-001_Plot-010;0.34741902;134.33958;0.1815561;43.382786;-22.305088;17.603828;-20.470154;23.495205;0.94066585;0.94066585;0
11;QUC 3309-2019;R-001_Plot-011;0.39405867;129.48294;0.17304325;49.491516;-25.556738;21.579859;-23.803905;29.175682;0.97753268;0.97753268;0
12;QUC 3529-2017  ;R-001_Plot-012;0.2262965;116.36883;0.17364782;29.504055;-17.635012;17.580498;-13.335441;19.53733;0.952920752;0.952920752;0
13;QUC 3612-2020;R-001_Plot-013;0.26951855;106.19843;0.19395524;34.570583;-17.569054;20.153069;-13.107377;23.09191;0.982613169;0.982510288;0.010470108
14;QUC 3526-2017  ;R-001_Plot-014;0.2441861;104.60823;0.25052333;32.634792;-19.21258;22.36953;-14.199827;24.543337;0.982716049;0.982613169;0.010469012
15;QUC 3535-2022;R-001_Plot-015;0.3150951;115.448746;0.15579194;40.178066;-20.641518;20.873474;-17.057943;25.67188;0.98281893;0.98281893;0
16;QUC 3528-2017;R-001_Plot-016;0.2535999;101.55699;0.28124464;34.295906;-20.159979;24.636557;-14.874739;26.991346;0.982716049;0.982613169;0.010469012
17;QUC 3448-2017  ;R-001_Plot-017;0.31044182;92.7201;0.26537395;40.12267;-18.272253;26.136545;-12.59582;29.773716;0.982587065;0.967143449;1.571729958
18;QUC 4637-2021;R-001_Plot-018;0.4423612;99.981766;0.13840449;52.589306;-17.350203;22.442144;-13.066692;29.175142;0.965899668;0.922678275;4.474729048
19;QUC 3609-2020;R-001_Plot-019;0.36966828;96.66545;0.15865088;44.70401;-15.498161;21.041117;-10.87153;25.959969;0.965174129;0.725331675;24.84965636
20;QUC 3622-2020;R-001_Plot-020;0.27539212;82.09087;0.2920763;35.135456;-13.53468;24.219105;-7.145554;25.860239;0.982690713;0.634328358;35.44984706
21;QUC 3314-2019;R-001_Plot-021;0.34960362;75.557335;0.35067064;44.901577;-15.367359;32.687366;-7.0141416;35.93996;0.982769424;0.1536132;84.36935501
22;QUC 3209-2020;R-001_Plot-022;0.42737147;87.80428;0.16288793;50.630318;-14.399254;22.952084;-8.851434;28.78251;0.950456053;0.391065506;58.85496183
23;QUC 3605-2020;R-001_Plot-023;0.37613916;95.45533;0.14599955;44.952904;-14.34574;19.983849;-9.763429;24.789206;0.950501253;0.716583124;24.60997583
24;QUC 4558-2021;R-001_Plot-024;0.27292484;83.88562;0.27259624;34.607807;-13.391681;22.992502;-7.3113346;24.717138;0.982560568;0.757205514;22.9354873
25;QUC 3596-2020;R-001_Plot-025;0.36518335;71.09648;0.29856157;45.25908;-12.330243;29.422998;-3.8788235;32.921234;0.98012916;0.01626925;98.34009123
26;QUC 3527-2022;R-002_Plot-026;0.31950024;82.72543;0.24325591;39.680622;-13.530013;23.81043;-7.3061576;26.897778;0.980004968;0.730501739;25.45938411
27;QUC 3556-2020;R-002_Plot-027;0.3035683;80.438835;0.2445432;37.573807;-12.251336;22.717953;-6.012397;25.177612;0.98245614;0.467418546;52.42346939
28;QUC 3537-2022;R-002_Plot-028;0.39390978;93.27641;0.15918237;47.206337;-15.090959;21.75368;-10.15908;27.076132;0.945279866;0.780492899;17.43261158
29;QUC 3642-2020;R-002_Plot-029;0.317567;95.01969;0.16932869;38.727158;-13.870483;19.35717;-9.160541;22.825407;0.924854892;0.691127695;25.27176958
30;QUC 3583-2021;R-002_Plot-030;0.26170194;87.44359;0.21096754;32.276375;-11.685576;18.71762;-6.4695926;20.316729;0.98245614;0.914160401;6.951530612
31;QUC 3211-2020;R-002_Plot-031;0.3055534;86.14378;0.20522755;37.446266;-12.582676;20.604092;-7.101974;23.40814;0.972947761;0.545087065;43.97571109
32;QUC 4344-2021;R-002_Plot-032;0.3494227;100.2077;0.12259406;41.519302;-13.160165;17.200308;-9.13951;21.23148;0.93615257;0.777466833;16.95084145
33;QUC 4459-2021;R-002_Plot-033;0.38765976;102.38217;0.1403051;46.70153;-16.655472;20.712505;-12.566843;26.242262;0.96776534;0.960095357;0.792545786
34;QUC 4534-2021;R-002_Plot-034;0.32481548;90.79987;0.21672112;40.45343;-15.4322;23.034477;-9.980004;26.776096;0.982379768;0.968698176;1.392698882
35;QUC 3408-2020;R-002_Plot-035;0.3104028;94.38895;0.2328251;39.475006;-17.197186;23.927458;-11.876315;27.57625;0.982716049;0.982613169;0.010469012
36;QUC 3594-2020;R-002_Plot-036;0.37569222;108.21506;0.17002928;47.13073;-21.60762;24.133787;-17.784489;30.476284;0.982304527;0.981995885;0.031420193
37;QUC 3559-2020;R-002_Plot-037;0.33052745;121.16784;0.13705087;41.715405;-21.067759;19.94596;-18.017052;25.237581;0.972222222;0.972016461;0.021164021
38;QUC 3546-2022;R-002_Plot-038;0.34099224;115.538925;0.16547692;43.82082;-23.103579;23.25589;-19.664488;29.13607;0.982716049;0.982716049;0
39;QUC 3502-2020;R-002_Plot-039;0.38087717;122.13375;0.12662941;47.098843;-21.815111;20.532398;-19.246302;27.034258;0.974673203;0.974673203;0
40;QUC 3658-2020;R-002_Plot-040;0.3307186;123.59482;0.13507056;41.258965;-20.011381;18.50869;-17.161621;23.599072;0.956086601;0.956086601;0
41;QUC 3448-2017;R-002_Plot-041;0.3373747;125.459175;0.15299428;42.53317;-21.830517;19.533882;-19.158926;25.146082;0.957209967;0.957209967;0
42;QUC 3306-2019;R-002_Plot-042;0.30519232;98.09919;0.22063553;38.91735;-17.776863;23.188175;-12.781927;26.895296;0.982638889;0.982536765;0.01039285
43;QUC 3528-2020;R-002_Plot-043;0.33214715;97.95465;0.24187535;42.87871;-20.388826;26.543964;-15.250665;31.303032;0.981853204;0.981853204;0
44;QUEULE-INIA;R-002_Plot-044;0.34185752;119.18311;0.11881882;42.309864;-19.322306;18.916098;-16.283504;24.090498;0.960969181;0.960969181;0
45;QUC 3454-2017  ;R-002_Plot-045;0.3585894;125.29227;0.122342646;43.78086;-19.184052;17.605062;-16.695189;23.054329;0.964922952;0.964821573;0.010506409
46;QUC 3328-2019;R-002_Plot-046;0.24859382;95.54328;0.26284796;32.41902;-16.304283;22.126955;-10.916887;23.822693;0.982664234;0.982258719;0.041266894
47;QUC 3207-2020;R-002_Plot-047;0.3578426;97.3511;0.1855225;44.21752;-17.324726;23.019547;-12.527817;28.022072;0.971014493;0.967491948;0.362769486
48;QUC 3591-2020;R-002_Plot-048;0.39176774;102.59724;0.14984477;47.54631;-17.771664;21.903454;-13.629717;27.766764;0.965881643;0.964673913;0.125039075
49;QUC 3590-2020;R-002_Plot-049;0.34074458;88.270485;0.2536987;43.06135;-17.002855;26.556034;-10.957553;30.7695;0.979166667;0.916867955;6.362421626
50;QUC 3301-2019;R-002_Plot-050;0.37960887;89.54202;0.22020978;46.970966;-17.166098;26.189987;-11.362412;31.5268;0.982689211;0.962459742;2.058582548
51;QUC 4551-2021;R-003_Plot-051;0.45673594;87.831635;0.14261353;53.264416;-13.794867;22.079313;-8.386259;28.26866;0.981582126;0.848128019;13.59581667
52;QUC 3526-2017;R-003_Plot-052;0.30776832;87.680695;0.26665556;39.241848;-16.037392;25.359818;-10.000672;28.487438;0.98168277;0.969504831;1.240516711
53;QUC 3628-2020;R-003_Plot-053;0.4142541;99.7265;0.14467138;49.63558;-16.944994;21.945448;-12.612774;28.065096;0.96678744;0.949476651;1.790547574
