Parc.;Variedad ;Image Name;Intensity;Hue;Saturation;Lightness;a*;b*;u*;v*;GA;GGA;CSI
1;QUC 3608-2020;R-001_Plot-001;0.38263607;57.640408;0.23107827;45.07234;-6.7982454;24.14587;1.9103324;27.312828;0.391078184;9.46E-04;99.75816203
2;QUC 3516-2022;R-001_Plot-002;0.35068926;105.18495;0.07629424;40.45343;-10.33253;13.249571;-7.030337;16.614367;0.799810845;0.171500631;78.5573512
3;QUC 3555-2020;R-001_Plot-003;0.3385419;65.62797;0.22573245;40.388588;-8.1711;22.09172;-0.89186746;24.64611;0.874369483;0.008039092;99.0805841
4;QUC 4465-2021;R-001_Plot-004;0.32818475;62.38256;0.23847312;39.205402;-7.367054;22.203321;0.16894361;24.304626;0.738493064;6.31E-04;99.91462113
5;QUC 4667-2021;R-001_Plot-005;0.36036873;60.01572;0.21813375;42.47286;-6.9772453;22.267567;0.8530246;25.069616;0.553909206;0.018757881;96.61354582
6;QUC 3586-2016;R-001_Plot-006;0.39993164;91.93737;0.09366387;45.82089;-10.140824;15.525149;-5.991647;19.685295;0.676387137;0.170554855;74.78443253
7;QUC 3528-2017  ;R-001_Plot-007;0.29810694;82.4271;0.17502093;35.670284;-10.004528;17.733356;-4.8205066;20.023968;0.900985378;0.219802924;75.60416299
8;QUC 3536-2020;R-001_Plot-008;0.3272542;69.07338;0.25760138;39.82875;-9.64806;23.972252;-2.222993;26.378485;0.960592686;0.020491803;97.86675418
9;QUC 3220-2020;R-001_Plot-009;0.35678634;67.73356;0.22474891;42.61185;-9.088969;23.118702;-1.6868191;26.251064;0.908931977;0.030832804;96.60779857
10;QUC 4559-2021;R-001_Plot-010;0.3721479;106.98767;0.07753426;42.997555;-11.3963175;14.134972;-8.1262245;18.062983;0.730769231;0.187736444;74.30974978
11;QUC 3309-2019;R-001_Plot-011;0.33396015;67.923096;0.27936077;40.92283;-9.921999;25.7808;-1.9604148;28.22922;0.958041958;0.002542912;99.734572
12;QUC 3529-2017  ;R-001_Plot-012;0.28538045;72.61518;0.23326325;34.620205;-9.07994;20.256735;-2.8218555;21.781536;0.964691047;0.112704918;88.31699346
13;QUC 3612-2020;R-001_Plot-013;0.3989297;60.144154;0.27061194;47.773556;-8.416677;28.263023;1.2691842;31.900915;0.539891926;0.00317864;99.41124522
14;QUC 3526-2017  ;R-001_Plot-014;0.3191224;70.94428;0.2306838;38.51427;-9.348724;21.815104;-2.5827932;24.155056;0.860813367;0.052017654;93.9571507
15;QUC 3535-2022;R-001_Plot-015;0.32903826;66.218636;0.23220694;39.423363;-8.282621;22.093386;-1.0702658;24.431131;0.893197711;0.01207883;98.64768683
16;QUC 3528-2017;R-001_Plot-016;0.28054094;71.5606;0.25441456;34.308456;-9.200405;21.201231;-2.675693;22.488707;0.963430013;0.046343001;95.18979058
17;QUC 3448-2017  ;R-001_Plot-017;0.32684934;62.87278;0.27800375;39.711334;-8.145362;24.828783;0.041963592;26.777512;0.780264817;1.58E-04;99.97979798
18;QUC 4637-2021;R-001_Plot-018;0.37768054;87.93501;0.099265456;43.34223;-9.272206;15.134243;-4.9672847;18.778141;0.575819672;0.136822194;76.23870791
19;QUC 3609-2020;R-001_Plot-019;0.37505898;80.97406;0.14242232;43.771973;-10.06196;18.365513;-4.7272053;22.231567;0.337326608;0.049022699;85.46728972
20;QUC 3622-2020;R-001_Plot-020;0.29969198;61.07241;0.2512319;35.965958;-6.7395263;21.384422;0.5699197;22.663006;0.685687264;0;100
21;QUC 3314-2019;R-001_Plot-021;0.30385813;62.212463;0.24957079;36.501366;-7.0981765;21.597849;0.20035298;23.046453;0.714375788;1.58E-04;99.97793469
22;QUC 3209-2020;R-001_Plot-022;0.36209276;90.68383;0.1007573;41.772545;-9.592255;14.929575;-5.4423695;18.394882;0.474888748;0.064526383;86.41231593
