Parc.;Variedad ;Image Name;Intensity;Hue;Saturation;Lightness;a*;b*;u*;v*;GA;GGA;CSI
1;QUC 3608-2020;R-001_Plot-001;0.48861682;45.157536;0.29208124;56.812817;-2.8792658;33.48654;12.021583;37.614838;0.003205128;0;100
2;QUC 3516-2022;R-001_Plot-002;0.39084697;80.654655;0.13064814;45.23368;-9.717141;17.905571;-4.4538903;21.962109;0.464555053;0.081825038;82.38636364
3;QUC 3555-2020;R-001_Plot-003;0.39242855;52.55455;0.26232058;46.35634;-5.60791;26.632446;4.5649347;29.581964;0.053594771;0;100
4;QUC 4465-2021;R-001_Plot-004;0.40672883;49.934204;0.2983613;48.327026;-4.762056;29.905966;7.105689;32.716038;0.027637722;0;100
5;QUC 4667-2021;R-001_Plot-005;0.3761132;47.848427;0.24051553;43.86073;-3.7009087;23.760664;6.0143814;26.095373;0.015168331;0;100
6;QUC 3586-2016;R-001_Plot-006;0.4725592;61.624825;0.18885332;54.419956;-8.415391;24.990658;0.35334563;30.357637;0.125416204;0.076766556;38.79056047
7;QUC 3528-2017  ;R-001_Plot-007;0.37643087;81.686455;0.16999018;44.62203;-11.587005;20.83;-5.821258;25.045132;0.786512736;0.053142752;93.24324324
8;QUC 3536-2020;R-001_Plot-008;0.37420666;56.159893;0.2632283;44.552822;-6.644754;25.999067;2.7611647;28.780016;0.231079348;0;100
9;QUC 3220-2020;R-001_Plot-009;0.39071062;47.675667;0.2672413;45.870705;-3.7167673;26.459963;7.1554265;28.93927;0.016158315;1.82E-04;98.87640449
10;QUC 4559-2021;R-001_Plot-010;0.4429175;55.48343;0.16710347;50.483356;-6.0899215;21.444729;2.0866182;25.6999;0.065359477;0.043028322;34.16666667
11;QUC 3309-2019;R-001_Plot-011;0.40581596;57.049725;0.35021472;49.738617;-8.318713;34.518707;3.6333947;37.580116;0.24788631;0;100
12;QUC 3529-2017  ;R-001_Plot-012;0.37081575;59.147373;0.3063438;45.085106;-8.11629;29.207241;1.8384017;31.886072;0.425796006;0.001079331;99.74651458
13;QUC 3612-2020;R-001_Plot-013;0.50688386;46.506363;0.3263141;59.53685;-3.5286229;37.714954;12.863505;42.08771;0.009893866;0;100
14;QUC 3526-2017  ;R-001_Plot-014;0.42420077;49.925957;0.36562067;51.394054;-4.9198604;36.147747;9.304505;38.676327;0.022103387;0;100
15;QUC 3535-2022;R-001_Plot-015;0.4545517;48.217766;0.3430304;54.25628;-4.203961;36.147915;10.700874;39.41808;0.002473061;0;100
16;QUC 3528-2017;R-001_Plot-016;0.36058867;57.93433;0.3247655;44.09906;-7.691924;29.735134;2.5283778;31.928322;0.294992997;0;100
17;QUC 3448-2017  ;R-001_Plot-017;0.44001213;48.061863;0.36758876;53.01863;-3.9457018;37.135883;11.279165;39.758186;5.30E-04;0;100
18;QUC 4637-2021;R-001_Plot-018;0.47593465;48.483807;0.20816159;54.32377;-4.6232486;25.851046;6.2122083;30.422642;0.073179272;0.056372549;22.96650718
19;QUC 3609-2020;R-001_Plot-019;0.47871995;46.393867;0.18372452;54.069202;-3.897499;23.630335;6.3387938;28.058876;0.025334027;0.019434322;23.28767123
20;QUC 3622-2020;R-001_Plot-020;0.44285855;45.12098;0.3235531;52.304615;-2.4555569;33.487423;12.18832;36.31684;0.001214645;0;100
21;QUC 3314-2019;R-001_Plot-021;0.3403207;53.12117;0.28172922;40.7212;-5.3492875;25.139069;3.9858928;26.790394;0.091271907;0;100
22;QUC 3209-2020;R-001_Plot-022;0.45969164;60.641132;0.21871537;53.583973;-8.59791;27.08208;0.8768422;32.237473;0.155314757;0.070519436;54.59579181
