Parc.;Variedad  ; ;Area;Mean;Min;Max
1;QUC 3608-2020;1;702;19.349;18.91;20.37
2;QUC 3516-2022;2;693;18.892;18.52;20.807
3;QUC 3555-2020;3;693;19.342;18.683;19.861
4;QUC 4465-2021;4;702;19.5;18.811;21.502
5;QUC 4667-2021;5;693;19.233;18.894;20.057
6;QUC 3586-2016;6;684;19.574;19.194;20.345
7;QUC 3528-2017  ;7;684;18.958;18.564;19.495
8;QUC 3536-2020;8;693;19.01;18.551;19.803
9;QUC 3220-2020;9;684;19.206;18.82;20.22
10;QUC 4559-2021;10;684;19.511;19.17;20.421
11;QUC 3309-2019;11;684;18.965;18.612;19.544
12;QUC 3529-2017  ;12;666;18.801;18.43;19.751
13;QUC 3612-2020;13;675;19.389;18.97;20.965
14;QUC 3526-2017  ;14;684;18.804;18.061;19.485
15;QUC 3535-2022;15;666;19.598;18.931;20.459
16;QUC 3528-2017;16;666;19.899;19.278;20.617
17;QUC 3448-2017  ;17;666;19.239;18.912;19.72
18;QUC 4637-2021;18;657;19.703;19.025;20.432
19;QUC 3609-2020;19;666;19.695;19.172;20.286
20;QUC 3622-2020;20;666;19.666;19.147;20.4
21;QUC 3314-2019;21;648;19.343;18.82;19.873
22;QUC 3209-2020;22;648;19.586;19.062;20.432
23;QUC 3605-2020;23;657;19.475;19.166;19.796
24;QUC 4558-2021;24;648;19.156;18.797;19.765
25;QUC 3596-2020;25;540;19.042;18.387;20.17
26;QUC 3527-2022;26;540;19.105;18.63;20.528
27;QUC 3556-2020;27;648;19.122;18.684;19.713
28;QUC 3537-2022;28;657;19.397;18.68;20.035
29;QUC 3642-2020;29;648;19.377;19.007;19.931
30;QUC 3583-2021;30;648;19.718;19.202;20.945
31;QUC 3211-2020;31;666;19.569;19.074;21.139
32;QUC 4344-2021;32;666;19.684;19.008;21.44
33;QUC 4459-2021;33;657;19.44;18.922;20.34
34;QUC 4534-2021;34;666;19.477;18.841;20.367
35;QUC 3408-2020;35;666;19.125;18.642;20.113
36;QUC 3594-2020;36;666;19.39;18.513;20.27
37;QUC 3559-2020;37;684;18.876;18.143;20.063
38;QUC 3546-2022;38;675;19.028;18.634;19.833
39;QUC 3502-2020;39;666;19.146;18.741;19.866
40;QUC 3658-2020;40;684;18.787;18.406;19.852
41;QUC 3448-2017;41;684;18.873;18.366;19.524
42;QUC 3306-2019;42;684;18.886;18.263;19.537
43;QUC 3528-2020;43;693;18.757;18.337;19.215
44;QUEULE-INIA;44;684;19.341;18.789;20.426
45;QUC 3454-2017  ;45;684;19.06;18.765;19.476
46;QUC 3328-2019;46;693;19.353;19.092;19.954
47;QUC 3207-2020;47;702;19.313;18.66;19.957
48;QUC 3591-2020;48;693;19.178;18.626;19.734
49;QUC 3590-2020;49;693;18.931;17.746;19.393
50;QUC 3301-2019;50;702;19.068;18.553;20.372
51;QUC 4551-2021;51;702;20.615;19.825;22.696
52;QUC 3526-2017;52;693;19.509;18.967;20.415
53;QUC 3628-2020;53;693;19.577;19.095;21.351
54;QUC 3607-2020;54;702;20.143;19.387;21.021
55;QUC 3305-2019;55;693;19.686;19.322;20.466
56;QUC 3492-2018;56;684;20.03;19.546;22.559
57;QUC 3527-2020;57;684;19.774;19.311;20.926
58;QUC 3619-2020;58;693;19.868;19.438;21.083
59;QUC 3534-2018;59;684;20.151;19.521;20.742
60;QUC 3312-2019;60;684;19.632;19.061;20.73
61;QUC 4535-2021;61;684;20.148;19.544;21.583
62;QUC 3702-2020;62;666;19.909;19.392;21.001
63;QUC 3617-2020;63;675;20.119;19.377;21.36
64;QUC 3653-2020;64;684;20.435;19.497;23.639
65;QUC 3532-2018;65;666;20.378;19.622;21.489
66;QUC 3593-2017;66;666;19.885;19.353;20.761
67;QUC 3555-2017  ;67;666;19.882;19.267;20.877
68;QUC 4425-2021;68;657;20.108;19.685;21.272
69;QUC 4542-2021;69;666;20.42;19.781;23.01
70;QUC 3221-2020;70;666;20.84;20.013;23.784
71;QUC 3413-2020;71;648;19.832;19.163;20.896
72;QUC 3210-2020;72;648;20.185;19.636;21.817
73;QUC 3556-2018;73;657;19.939;19.233;21.347
74;QUC 3677-2020;74;648;19.935;19.371;21.136
75;QUC 3517-2017;75;540;20.044;19.38;21.842
76;QUC 3592-2020;76;540;19.531;18.969;21.687
77;QUC 3425-2020;77;648;19.271;18.907;20.454
78;LLEUQUE-INIA;78;657;18.99;18.605;19.895
79;QUC 3522-2022;79;648;19.165;18.738;19.937
80;QUC 4592-2021;80;648;20.85;19.824;23.921
81;QUC 3603-2020;81;666;20.647;19.899;22.466
82;QUC 3616-2020;82;666;20.116;19.446;22.029
83;QUC 3606-2020;83;657;19.982;19.465;21.655
84;QUC 4552-2021;84;666;19.941;19.497;20.828
85;QUC 3555-2017  ;85;666;19.556;18.793;21.199
86;QUC 3582-2020;86;666;19.834;18.979;22.075
87;QUC 3678-2020;87;684;19.97;19.285;21.417
88;QUC 3625-2020;88;675;20.178;19.503;21.312
89;QUC 3401-2020;89;666;20.19;19.568;22.888
90;QUC 3543-2020;90;684;19.813;19.416;20.701
91;QUC 3632-2021;91;684;20.291;19.454;21.971
92;QUC 4600-2021;92;684;19.67;19.302;20.569
93;QUC 3584-2018;93;693;19.874;19.177;21.509
94;QUC 4605-2021;94;684;19.769;19.084;21.014
95;QUC 3521-2020;95;684;19.697;19.315;20.849
96;QUC 3525-2022;96;693;19.958;19.433;21.926
97;QUC 3326-2019;97;702;20.626;19.802;22.211
98;QUC 3317-2019;98;693;19.434;19.056;19.977
99;QUC 3547-2022;99;693;19.889;19.524;21.011
100;QUC 4598-2021;100;702;19.799;19.451;20.353
101;QUC 3518-2022;101;702;19.823;18.98;21.409
