Parc.;Variedad;Area;Mean;Min;Max;%Area
1;QUC 3608-2020;476;26.0075;25.4001;27.0335;100
2;QUC 3516-2022;476;25.8231;24.3887;28.7241;100
3;QUC 3555-2020;476;25.4071;24.3559;25.8867;100
4;QUC 4465-2021;476;25.3414;24.5169;25.9991;100
5;QUC 4667-2021;476;25.6912;24.6917;26.1516;100
6;QUC 3586-2016;476;26.0751;24.6026;28.1519;100
7;QUC 3528-2017  ;476;25.7552;24.3219;27.8801;100
8;QUC 3536-2020;476;25.6383;24.6795;26.0823;100
9;QUC 3220-2020;476;25.4225;24.9976;25.8878;100
10;QUC 4559-2021;476;25.4943;24.2366;27.0306;100
11;QUC 3309-2019;476;24.7838;24.0617;26.0521;100
12;QUC 3529-2017  ;476;24.3618;23.6185;24.8096;100
13;QUC 3612-2020;476;24.1788;23.2034;24.8436;100
14;QUC 3526-2017  ;476;24.6455;23.6407;27.3948;100
15;QUC 3535-2022;476;23.9112;22.6776;24.4556;100
16;QUC 3528-2017;476;24.1019;23.1939;24.5942;100
17;QUC 3448-2017  ;476;24.3656;23.6897;24.703;100
18;QUC 4637-2021;476;25.0878;23.9609;27.2825;100
19;QUC 3609-2020;476;25.01;24.1178;27.7501;100
20;QUC 3622-2020;476;24.4624;23.5823;25.2763;100
21;QUC 3314-2019;476;24.27;23.2405;24.6928;100
22;QUC 3209-2020;476;24.405;22.8646;27.1781;100
23;QUC 3605-2020;476;23.7868;22.8228;24.5014;100
24;QUC 4558-2021;476;23.636;22.7487;24.2331;100
25;QUC 3596-2020;476;23.9027;23.1016;24.6273;100
26;QUC 3527-2022;476;23.8911;23.2173;24.7434;100
27;QUC 3556-2020;476;23.6927;23.3653;24.1499;100
28;QUC 3537-2022;476;24.3543;24.0769;25.0292;100
29;QUC 3642-2020;476;24.7615;24.0504;26.7804;100
30;QUC 3583-2021;476;24.5624;23.9862;25.0296;100
31;QUC 3211-2020;476;25.05;24.7226;25.5218;100
32;QUC 4344-2021;476;25.7775;25.1148;27.5655;100
33;QUC 4459-2021;476;25.7355;25.1121;27.009;100
34;QUC 4534-2021;476;25.2044;24.7663;25.7955;100
35;QUC 3408-2020;476;24.8122;24.4601;25.3813;100
36;QUC 3594-2020;476;25.024;24.434;26.798;100
37;QUC 3559-2020;476;25.037;24.3623;27.2835;100
38;QUC 3546-2022;476;24.8313;24.3458;25.5782;100
39;QUC 3502-2020;476;24.7733;24.2385;26.575;100
40;QUC 3658-2020;476;25.191;24.7931;26.2709;100
41;QUC 3448-2017;476;25.7134;25.0933;27.3784;100
42;QUC 3306-2019;476;25.8087;25.5305;26.3345;100
43;QUC 3528-2020;476;25.6487;25.2783;26.4656;100
44;QUEULE-INIA;476;26.2631;25.427;28.7373;100
45;QUC 3454-2017  ;476;26.1098;25.3185;27.9956;100
46;QUC 3328-2019;476;26.2597;25.8999;26.6307;100
47;QUC 3207-2020;476;26.0418;25.5652;26.4921;100
48;QUC 3591-2020;476;26.3914;25.8647;28.0695;100
49;QUC 3590-2020;474;26.3247;25.7909;28.8826;100
50;QUC 3301-2019;476;25.9699;25.538;26.9998;100
51;QUC 4551-2021;476;24.9483;24.222;26.5352;100
52;QUC 3526-2017;476;24.6741;23.9952;26.8984;100
53;QUC 3628-2020;476;24.7783;24.0424;26.9173;100
54;QUC 3607-2020;476;24.7863;24.4768;25.8121;100
55;QUC 3305-2019;476;24.6969;24.1496;25.2045;100
56;QUC 3492-2018;476;25.5605;24.8127;27.7859;100
57;QUC 3527-2020;476;25.1932;24.6169;27.8597;100
58;QUC 3619-2020;476;24.7111;24.2299;25.3755;100
59;QUC 3534-2018;476;24.578;24.2423;24.9784;100
60;QUC 3312-2019;476;24.8205;24.1074;26.9268;100
61;QUC 4535-2021;476;24.8226;24.293;25.9245;100
62;QUC 3702-2020;476;24.2381;23.8114;25.5858;100
63;QUC 3617-2020;476;24.0024;23.5978;25.0359;100
64;QUC 3653-2020;476;24.4005;23.7014;26.8225;100
65;QUC 3532-2018;476;23.6159;23.2544;24.2559;100
66;QUC 3593-2017;476;23.7573;23.3923;24.2548;100
67;QUC 3555-2017  ;476;23.947;23.5674;24.5347;100
68;QUC 4425-2021;476;24.744;24.1064;26.3947;100
69;QUC 4542-2021;476;24.6347;23.9861;26.726;100
70;QUC 3221-2020;476;25.0727;24.3743;28.6948;100
71;QUC 3413-2020;476;24.0351;23.4184;25.4294;100
72;QUC 3210-2020;476;24.1545;23.2901;26.1404;100
73;QUC 3556-2018;476;23.3592;22.8366;24.3066;100
74;QUC 3677-2020;476;23.5611;23.2704;24.0022;100
75;QUC 3517-2017;476;23.8722;23.0919;24.3615;100
76;QUC 3592-2020;476;24.0774;23.6544;25.0048;100
77;QUC 3425-2020;476;23.7204;23.2621;25.0925;100
78;LLEUQUE-INIA;476;23.6979;23.3204;25.3213;100
79;QUC 3522-2022;476;24.0026;22.988;26.0814;100
80;QUC 4592-2021;475;24.7223;23.6127;28.7147;100
81;QUC 3603-2020;476;24.4968;23.7659;27.2;100
82;QUC 3616-2020;476;24.9895;24.0008;27.0854;100
83;QUC 3606-2020;476;25.007;24.0178;26.4186;100
84;QUC 4552-2021;476;24.4426;23.8669;25.8784;100
85;QUC 3555-2017  ;476;24.1355;23.4497;26.8627;100
86;QUC 3582-2020;476;24.2844;23.5574;25.9792;100
87;QUC 3678-2020;476;24.8765;23.7866;27.3071;100
88;QUC 3625-2020;476;24.4939;23.7632;25.9095;100
89;QUC 3401-2020;476;24.9708;24.4121;26.6633;100
90;QUC 3543-2020;476;25.0628;24.4682;26.6368;100
91;QUC 3632-2021;476;25.8804;24.6446;28.425;100
92;QUC 4600-2021;476;24.9076;24.4752;25.6554;100
93;QUC 3584-2018;476;25.2354;24.5954;26.0801;100
94;QUC 4605-2021;476;25.4205;24.6228;27.1246;100
95;QUC 3521-2020;476;25.6391;24.7419;27.8157;100
96;QUC 3525-2022;476;25.2109;24.2525;27.8194;100
97;QUC 3326-2019;474;25.3037;24.3629;28.2774;100
98;QUC 3317-2019;476;24.5982;23.8642;26.2514;100
99;QUC 3547-2022;476;24.974;24.0179;28.2667;100
100;QUC 4598-2021;476;24.919;24.2392;25.7669;100
101;QUC 3518-2022;476;23.9065;23.3523;24.669;100
102;QUC 3524-2022;476;23.7891;23.0823;26.4739;100
103;QUC 3414-2020;476;23.7017;23.2844;24.6888;100
104;QUC 3544-2020;476;23.972;23.7296;24.43;100
105;QUC 3636-2020;476;24.452;24.1069;24.9928;100
106;QUC 3421-2020;476;24.7834;24.2016;26.9072;100
107;QUC 4454-2021;476;24.6201;23.7792;27.2911;100
108;QUC 3859-2021;476;24.3377;23.7971;24.8578;100
109;QUC 3532-2022;476;23.8062;23.4334;24.2774;100
110;QUC 3655-2020;476;24.4558;23.7512;26.336;100
111;QUC 3534-2020;476;23.8694;23.2712;25.7877;100
112;QUC 3648-2020;476;23.9217;23.2618;25.9827;100
113;QUC 4541-2021;476;23.5964;23.2086;24.2041;100
114;QUC 3311-2019;476;23.818;22.8584;26.219;100
115;QUC 3649-2020;476;23.564;23.0282;25.6521;100
116;QUC 3454-2020  ;476;23.3613;23.0049;24.1307;100
117;QUC 4483-2021;476;23.4854;23.1458;24.0412;100
118;QUC 3410-2020;476;23.4597;22.8785;24.8417;100
119;QUC 3638-2020;476;24.108;23.1;25.8046;100
120;QUC 4546-2021;476;23.5693;23.1639;24.4078;100
121;QUC 4481-2021;476;23.5998;23.3508;24.221;100
122;QUC 3409-2020;476;23.7987;23.2872;25.3083;100
123;QUC 3404-2020;476;23.4552;23.1757;24.191;100
124;QUC 3741-2020;476;23.2918;22.9568;23.7391;100
125;QUC 3528-2022;476;23.2454;22.5993;23.9977;100
126;QUC 3407-2020;476;23.7757;23.3146;25.0294;100
127;QUC 3631-2020;476;23.7282;23.0463;25.7115;100
128;QUC 3401-2018;476;23.5269;22.81;24.2502;100
129;QUC 3657-2020;476;23.5621;22.957;25.2324;100
130;QUC 3311-2019;476;23.1373;22.4411;24.1009;100
131;QUC 3626-2020;476;23.6709;22.8788;25.5272;100
132;QUC 4568-2021;476;23.5671;22.8808;25.5038;100
133;QUC 3622-2021;476;23.5158;22.8911;25.1398;100
134;QUC 3492-2018;476;22.7649;22.3497;23.8711;100
135;QUC 4323-2021;476;23.2686;22.8609;23.7912;100
136;QUC 3594-2017  ;476;23.044;22.5755;23.6908;100
137;QUC 3635-2020;476;23.5194;22.6245;25.8638;100
138;QUC 3536-2022;476;23.1551;22.7103;24.6773;100
139;QUC 3646-202;476;23.4356;23.1259;24.7217;100
140;QUC 3214-2020;476;23.7881;22.9405;25.712;100
141;QUC 3487-2018  ;476;23.7152;22.9085;25.4231;100
142;QUC 4423-2021;476;24.1025;23.6377;24.7234;100
