Parc.;Variedad ; ;Area;Mean;StdDev;Min;Max;%Area;MinThr;MaxThr
1;QUC 3608-2020;1;527;26.4458;0.5228;25.3868;27.7007;100;-3.40E+38;3.40E+38
2;QUC 3516-2022;2;527;26.4434;0.7925;25.1105;28.8664;100;-3.40E+38;3.40E+38
3;QUC 3555-2020;3;527;25.9882;0.2853;25.1833;27.1848;100;-3.40E+38;3.40E+38
4;QUC 4465-2021;4;534;26.202;0.3236;25.5471;27.3823;100;-3.40E+38;3.40E+38
5;QUC 4667-2021;5;544;26.4905;0.4596;25.7663;28.5223;100;-3.40E+38;3.40E+38
6;QUC 3586-2016;6;541;27.1744;0.716;26.0514;30.5447;100;-3.40E+38;3.40E+38
7;QUC 3528-2017  ;7;544;26.0829;0.7641;25.1721;28.9333;100;-3.40E+38;3.40E+38
8;QUC 3536-2020;8;544;26.4098;0.6126;25.7526;30.39;100;-3.40E+38;3.40E+38
9;QUC 3220-2020;9;544;26.668;0.6915;25.9303;30.2594;100;-3.40E+38;3.40E+38
10;QUC 4559-2021;10;550;27.267;0.7481;26.0463;30.6801;100;-3.40E+38;3.40E+38
11;QUC 3309-2019;11;561;26.3729;0.3669;25.8085;27.9431;100;-3.40E+38;3.40E+38
12;QUC 3529-2017  ;12;561;25.8443;0.4728;25.2156;28.2619;100;-3.40E+38;3.40E+38
13;QUC 3612-2020;13;561;26.3395;0.7573;25.4157;29.7831;100;-3.40E+38;3.40E+38
14;QUC 3526-2017  ;14;558;26.4454;1.0678;25.0554;30.5948;100;-3.40E+38;3.40E+38
15;QUC 3535-2022;15;561;25.8895;0.4583;25.2008;28.2728;100;-3.40E+38;3.40E+38
16;QUC 3528-2017;16;568;25.6716;0.3623;25.0143;28.3249;100;-3.40E+38;3.40E+38
17;QUC 3448-2017  ;17;578;26.1882;0.3879;25.6466;28.8685;100;-3.40E+38;3.40E+38
18;QUC 4637-2021;18;567;27.7575;0.7921;26.4797;30.2351;100;-3.40E+38;3.40E+38
19;QUC 3609-2020;19;561;27.5831;0.94;26.5615;30.6439;100;-3.40E+38;3.40E+38
20;QUC 3622-2020;20;574;27.1391;0.8103;26.2923;30.5657;100;-3.40E+38;3.40E+38
21;QUC 3314-2019;21;570;26.8852;0.8617;26.0113;30.6603;100;-3.40E+38;3.40E+38
22;QUC 3209-2020;22;561;26.9686;0.8911;25.7474;30.6723;100;-3.40E+38;3.40E+38
23;QUC 3605-2020;23;580;26.5194;0.9318;25.5729;30.578;100;-3.40E+38;3.40E+38
24;QUC 4558-2021;24;592;26.6861;0.9357;25.127;30.6334;100;-3.40E+38;3.40E+38
25;QUC 3596-2020;25;611;27.2485;0.6957;26.0988;30.5676;100;-3.40E+38;3.40E+38
26;QUC 3527-2022;26;612;26.7229;0.5301;25.8333;28.7416;100;-3.40E+38;3.40E+38
27;QUC 3556-2020;27;612;26.2971;0.5697;25.3488;28.5865;100;-3.40E+38;3.40E+38
28;QUC 3537-2022;28;612;26.8458;0.6365;25.7909;29.5049;100;-3.40E+38;3.40E+38
29;QUC 3642-2020;29;595;27.8062;0.5749;26.6723;29.9558;100;-3.40E+38;3.40E+38
30;QUC 3583-2021;30;590;28.2783;0.909;26.9979;30.5804;100;-3.40E+38;3.40E+38
31;QUC 3211-2020;31;595;27.9307;0.4472;27.1938;29.6398;100;-3.40E+38;3.40E+38
32;QUC 4344-2021;32;577;28.7123;0.6707;27.6645;30.5481;100;-3.40E+38;3.40E+38
33;QUC 4459-2021;33;595;28.3394;0.5451;27.4491;30.1666;100;-3.40E+38;3.40E+38
34;QUC 4534-2021;34;593;28.0264;0.6499;27.0996;30.6858;100;-3.40E+38;3.40E+38
35;QUC 3408-2020;35;577;27.8213;0.9039;26.6829;30.5912;100;-3.40E+38;3.40E+38
36;QUC 3594-2020;36;578;27.9114;0.4789;27.0236;30.1318;100;-3.40E+38;3.40E+38
37;QUC 3559-2020;37;578;27.148;0.8185;26.0408;29.7701;100;-3.40E+38;3.40E+38
