Parc.;Variedad; ;Area;Mean;StdDev;Min;Max;%Area;MinThr;MaxThr
1;QUC 3608-2020;1;660;33.0279;1.1369;31.5039;35.8122;100;-3.40E+38;3.40E+38
2;QUC 3516-2022;2;605;31.2097;0.6667;30.5909;33.898;100;-3.40E+38;3.40E+38
3;QUC 3555-2020;3;660;31.7505;0.6793;30.8027;34.5202;100;-3.40E+38;3.40E+38
4;QUC 4465-2021;4;660;32.0909;0.5333;31.2125;34.6759;100;-3.40E+38;3.40E+38
5;QUC 4667-2021;5;670;31.8473;0.4807;31.0463;33.3526;100;-3.40E+38;3.40E+38
6;QUC 3586-2016;6;680;32.748;0.549;31.7157;34.2788;100;-3.40E+38;3.40E+38
7;QUC 3528-2017  ;7;665;31.313;0.5853;30.6062;34.0757;100;-3.40E+38;3.40E+38
8;QUC 3536-2020;8;660;32.1079;0.6266;31.0173;35.0201;100;-3.40E+38;3.40E+38
9;QUC 3220-2020;9;660;32.6948;0.4684;31.9651;34.3375;100;-3.40E+38;3.40E+38
10;QUC 4559-2021;10;660;33.9101;0.6836;32.7982;36.0032;100;-3.40E+38;3.40E+38
11;QUC 3309-2019;11;660;32.1052;0.5444;31.2024;34.6633;100;-3.40E+38;3.40E+38
12;QUC 3529-2017  ;12;660;31.6644;0.539;30.6434;33.492;100;-3.40E+38;3.40E+38
13;QUC 3612-2020;13;670;33.702;0.9916;31.8732;36.7192;100;-3.40E+38;3.40E+38
14;QUC 3526-2017  ;14;680;32.656;0.592;31.6145;35.2354;100;-3.40E+38;3.40E+38
15;QUC 3535-2022;15;680;33.2469;0.954;31.9286;38.2994;100;-3.40E+38;3.40E+38
16;QUC 3528-2017;16;680;31.6713;0.4459;30.8047;34.3174;100;-3.40E+38;3.40E+38
17;QUC 3448-2017  ;17;680;32.8021;0.3578;31.8782;35.3473;100;-3.40E+38;3.40E+38
18;QUC 4637-2021;18;680;36.1651;0.746;34.7038;40.4909;100;-3.40E+38;3.40E+38
19;QUC 3609-2020;19;670;35.8837;1.065;34.0903;43.9647;100;-3.40E+38;3.40E+38
20;QUC 3622-2020;20;659;34.2695;1.1179;32.7029;43.9602;100;-3.40E+38;3.40E+38
21;QUC 3314-2019;21;670;32.7597;0.7501;31.3155;35.9653;100;-3.40E+38;3.40E+38
22;QUC 3209-2020;22;680;34.0218;1.0579;31.9309;37.929;100;-3.40E+38;3.40E+38
23;QUC 3605-2020;23;680;34.0426;0.825;32.3006;39.2272;100;-3.40E+38;3.40E+38
24;QUC 4558-2021;24;680;33.5272;1.1379;32.3279;43.1359;100;-3.40E+38;3.40E+38
25;QUC 3596-2020;25;680;33.3374;0.5499;32.4339;35.1299;100;-3.40E+38;3.40E+38
26;QUC 3527-2022;26;680;33.0236;0.4628;32.086;34.9932;100;-3.40E+38;3.40E+38
27;QUC 3556-2020;27;680;32.3197;0.3708;31.446;34.0218;100;-3.40E+38;3.40E+38
28;QUC 3537-2022;28;680;32.8265;0.706;31.7859;38.1981;100;-3.40E+38;3.40E+38
29;QUC 3642-2020;29;680;34.4886;1.0729;32.8905;39.9139;100;-3.40E+38;3.40E+38
30;QUC 3583-2021;30;670;34.0928;1.8794;32.2962;42.8164;100;-3.40E+38;3.40E+38
31;QUC 3211-2020;31;660;35.7278;0.9987;34.4034;40.431;100;-3.40E+38;3.40E+38
32;QUC 4344-2021;32;670;36.2097;1.323;34.1832;42.3358;100;-3.40E+38;3.40E+38
33;QUC 4459-2021;33;680;34.5663;0.7831;33.0375;37.9197;100;-3.40E+38;3.40E+38
34;QUC 4534-2021;34;680;35.2291;0.5554;34.0699;38.7025;100;-3.40E+38;3.40E+38
35;QUC 3408-2020;35;680;35.8161;1.1531;34.0251;40.8949;100;-3.40E+38;3.40E+38
36;QUC 3594-2020;36;680;36.7457;0.697;35.3101;39.7985;100;-3.40E+38;3.40E+38
37;QUC 3559-2020;37;680;34.2846;1.1267;32.857;37.8415;100;-3.40E+38;3.40E+38
38;QUC 3546-2022;38;670;32.8596;0.5006;31.8905;34.5005;100;-3.40E+38;3.40E+38
39;QUC 3502-2020;39;660;33.6285;0.6871;32.544;36.0016;100;-3.40E+38;3.40E+38
40;QUC 3658-2020;40;660;33.6182;1.0176;31.9988;36.6202;100;-3.40E+38;3.40E+38
41;QUC 3448-2017;41;660;33.5323;1.3321;31.7782;37.0115;100;-3.40E+38;3.40E+38
42;QUC 3306-2019;42;660;34.0423;0.7738;32.5641;35.8899;100;-3.40E+38;3.40E+38
43;QUC 3528-2020;43;660;33.6346;0.8615;31.9809;37.4468;100;-3.40E+38;3.40E+38
44;QUEULE-INIA;44;670;34.0615;0.7915;32.9019;37.1708;100;-3.40E+38;3.40E+38
45;QUC 3454-2017  ;45;680;32.0604;0.5818;31.16;34.1028;100;-3.40E+38;3.40E+38
46;QUC 3328-2019;46;670;32.52;0.472;31.8334;34.7841;100;-3.40E+38;3.40E+38
47;QUC 3207-2020;47;660;34.0068;0.6299;32.6849;36.8381;100;-3.40E+38;3.40E+38
48;QUC 3591-2020;48;660;32.8778;0.696;31.7418;35.6917;100;-3.40E+38;3.40E+38
49;QUC 3590-2020;49;660;32.4175;0.7998;31.4252;36.3681;100;-3.40E+38;3.40E+38
50;QUC 3301-2019;50;660;32.7488;0.6857;31.5379;34.5217;100;-3.40E+38;3.40E+38
51;QUC 4551-2021;51;660;34.7617;1.0559;32.5102;37.8216;100;-3.40E+38;3.40E+38
52;QUC 3526-2017;52;660;31.7653;0.7245;30.7046;34.7875;100;-3.40E+38;3.40E+38
53;QUC 3628-2020;53;660;33.0833;0.7308;31.9238;35.9574;100;-3.40E+38;3.40E+38
54;QUC 3607-2020;54;660;33.4407;0.6478;31.7535;36.1188;100;-3.40E+38;3.40E+38
55;QUC 3305-2019;55;670;33.5106;0.6397;32.537;37.4674;100;-3.40E+38;3.40E+38
56;QUC 3492-2018;56;680;33.8446;1.0661;32.1593;36.9935;100;-3.40E+38;3.40E+38
57;QUC 3527-2020;57;670;34.1218;0.6385;33.0544;36.7097;100;-3.40E+38;3.40E+38
58;QUC 3619-2020;58;660;33.3287;0.6412;32.3337;35.6375;100;-3.40E+38;3.40E+38
59;QUC 3534-2018;59;660;33.0101;0.3449;32.3241;34.2901;100;-3.40E+38;3.40E+38
60;QUC 3312-2019;60;660;33.0939;0.6094;32.0835;35.4753;100;-3.40E+38;3.40E+38
61;QUC 4535-2021;61;660;35.1985;0.5061;34.172;37.069;100;-3.40E+38;3.40E+38
62;QUC 3702-2020;62;660;36.1705;0.8058;34.9366;40.1768;100;-3.40E+38;3.40E+38
63;QUC 3617-2020;63;670;35.6191;0.5606;34.1208;37.4645;100;-3.40E+38;3.40E+38
64;QUC 3653-2020;64;680;36.3431;0.8742;34.4614;40.6817;100;-3.40E+38;3.40E+38
65;QUC 3532-2018;65;680;34.5421;1.1638;32.5936;38.2911;100;-3.40E+38;3.40E+38
66;QUC 3593-2017;66;680;34.8926;0.6923;33.415;37.4241;100;-3.40E+38;3.40E+38
67;QUC 3555-2017  ;67;680;34.5077;0.7694;32.899;37.1911;100;-3.40E+38;3.40E+38
68;QUC 4425-2021;68;680;35.5178;0.974;33.7974;41.4252;100;-3.40E+38;3.40E+38
69;QUC 4542-2021;69;670;36.7939;0.9441;34.5266;40.2432;100;-3.40E+38;3.40E+38
70;QUC 3221-2020;70;660;37.6236;0.9665;35.6848;41.8488;100;-3.40E+38;3.40E+38
71;QUC 3413-2020;71;670;36.5458;1.164;34.303;42.8552;100;-3.40E+38;3.40E+38
72;QUC 3210-2020;72;668;38.8906;1.1925;36.7249;45.6594;100;-3.40E+38;3.40E+38
73;QUC 3556-2018;73;675;37.1152;1.6493;35.3332;45.0822;100;-3.40E+38;3.40E+38
74;QUC 3677-2020;74;680;36.7097;1.2478;34.9689;43.6899;100;-3.40E+38;3.40E+38
