Genotipo,Caracteristica,Ambient Humidity,Ambient Pressure,Ambient Temperature,ECS_tau,ECSt mAU,FmPrime,FoPrime,Fs,FvP_over_FmP,gH+,kP700,leaf angle,Leaf Temperature,Leaf Temperature Differenial,Leaf Temperature Differential,leaf_thickness,LEF,Light Intensity (PAR),NPQt,P700_DIRK_ampl,Phi2,PhiNO,PhiNPQ,PS1 Active Centers,PS1 Open Centers,PS1 Over Reduced Centers,PS1 Oxidized Centers,qL,SPAD,tP700,v_initial_P700,vH+,Longitude,Estado Fenológico,Chl,Flav,Anth,NBI,temp,Valor,Intensity,Hue,Saturation,Lightness,a*,b*,u*,v*,GA,GGA,CSI,Area,Mean,Min,Max
LLEUQUE-INIA,Testigo,27.85742,988.33118,32.58,0.0273,-0.00016,1367.99,978.0,1154.33,0.285,36.614,235.891,5.56,30.69,-1.89,-1.89,0.15,188.35,2683.043,11.238,0.00113,0.156,0.069,0.775,1806.0,0.193,-0.142,0.95,0.464,60.25,0.0042,0.2665568,-0.006,,1.0,29324.0,1926.0,0.262,15.22,34.86,0.43,0.39997903,34.056786,0.27991176,45.878998,3.0920134,26.486916,17.111168,27.589628,0.002041541,0.0,100.0,291.0,41.4363,37.8072,42.9051
LLEUQUE-INIA,Testigo,22.87402,987.9469,33.24,0.0053,0.00094,2497.97,1965.0,2317.33,0.213,186.943,142.8267,4741.0,31.77,-1.47,-1.47,0.16,85.09,2626.188,16.992,0.00148,0.072,0.052,0.876,1033.0,-2564.0,-4371.0,7935.0,0.287,51.515,0.007,0.2113835,0.176,-7228215666666660.0,1.0,36294.0,1732.0,0.229,20.95,31.87,0.66,0.32281637,56.880272,0.24074298,38.321243,-5.8995047,21.717394,1.9040436,23.400244,0.496744186,0.002046512,99.58801498,585.0,36.8297,34.396,42.0053
LLEUQUE-INIA,Testigo,21.11914,987.62415,32.69,-0.3237,-7e-05,1392.61,994.0,1219.67,0.286,-3.089,201.208,6975.0,32.15,-0.54,-0.54,0.16,134.45,2409.507,11.169,0.00138,0.124,0.072,0.804,1997.0,0.02,-0.092,1072.0,0.354,59.697,0.005,0.277667,0.0,,1.0,46177.0,1672.0,0.209,27.61,31.89,0.43,0.39997903,34.056786,0.27991176,45.878998,3.0920134,26.486916,17.111168,27.589628,0.002041541,0.0,100.0,291.0,41.4363,37.8072,42.9051
LLEUQUE-INIA,Testigo,29.73535,988.65173,33.4,0.0065,0.00102,1460.0,1335.0,1369.67,0.086,155.028,160.9014,5389.0,34.43,1.03,1.03,0.1,80.45,288.3541,51.119,0.00132,0.062,0.018,0.92,1392.0,-0.084,-0.126,1.21,0.704,47.172,0.0062,0.2123898,0.158,-716330533.0,1.0,21036.0,2023.0,0.325,10.4,34.9,0.66,0.32281637,56.880272,0.24074298,38.321243,-5.8995047,21.717394,1.9040436,23.400244,0.496744186,0.002046512,99.58801498,585.0,36.8297,34.396,42.0053
LLEUQUE-INIA,Testigo,25.58594,993.27966,28.38,0.0067,0.00047,1662.61,999.0,1221.0,0.399,150.25,855.797,6143.0,28.07,-0.31,-0.31,0.24,150.57,1257.926,6.346,0.00087,0.266,0.1,0.634,1798.0,0.73,0.056,0.214,0.544,53.121,0.0117,0.0744543,0.071,-718819407.0,2.0,44654.0,1718.0,0.246,26.0,26.12,0.42,0.6061867,79.16673,0.044106722,65.1532,-7.32278,14.173759,-2.8002186,19.576527,0.838020833,0.4096875,51.11249223,420.0,37.8177,31.7041,40.4693
LLEUQUE-INIA,Testigo,24.78809,993.53436,31.58,0.0089,0.00174,3618.87,2365.0,3140.33,0.346,112.854,146.056,2698.0,29.61,-1.97,-1.97,0.14,109.83,1848.911,8.204,0.00181,0.132,0.094,0.773,2926.0,0.256,0.026,0.718,0.287,64.194,0.0068,0.2643614,0.196,-7228207833333330.0,2.0,21088.0,2084.0,0.367,10.12,31.5,0.6,0.57601035,113.88969,0.05095321,63.79242,-13.707276,16.391726,-10.88163,23.315123,0.982957393,0.915488722,6.863844977,585.0,30.1957,27.4382,36.3538
LLEUQUE-INIA,Testigo,28.30664,994.78479,30.35,0.0053,0.00097,1980.77,1539.0,1807.33,0.223,188.224,214.8024,4062.0,29.43,-0.92,-0.92,0.11,117.26,2961.074,16.0,0.00126,0.088,0.054,0.859,1951.0,0.024,0.011,0.966,0.334,51.822,0.0047,0.270651,0.183,-7228248666666660.0,2.0,43504.0,1901.0,0.254,22.89,31.65,0.42,0.6061867,79.16673,0.044106722,65.1532,-7.32278,14.173759,-2.8002186,19.576527,0.838020833,0.4096875,51.11249223,420.0,37.8177,31.7041,40.4693
LLEUQUE-INIA,Testigo,29.33203,994.45111,27.75,0.0105,0.00077,825.49,667.0,739.33,0.192,95.635,142.8086,3367.0,29.43,1.68,1.68,0.2,126.43,2701.414,19.537,0.00119,0.104,0.044,0.852,0.319,0.062,-4301.0,5239.0,0.49,34.584,0.007,0.1699422,0.074,-718819407.0,2.0,36423.0,1878.0,0.269,19.39,26.1,0.6,0.57601035,113.88969,0.05095321,63.79242,-13.707276,16.391726,-10.88163,23.315123,0.982957393,0.915488722,6.863844977,585.0,30.1957,27.4382,36.3538
LLEUQUE-INIA,Testigo,17.95703,992.30609,36.01,0.0094,0.00097,1144.39,933.0,976.33,0.185,106.83,275.8307,11575.0,37.33,1.32,1.32,0.17,119.16,1801.432,20.538,0.00068,0.147,0.04,0.814,2.129,0.078,-0.255,1.177,0.76,53.551,0.0036,0.1875649,0.104,-716334748.0,3.0,30339.0,1700.0,0.261,17.85,35.45,0.56,0.3583448,41.463127,0.28150934,41.91018,-0.83955735,25.106464,10.378773,26.21119,0.004787384,0.0,100.0,525.0,39.534,37.124,45.132
LLEUQUE-INIA,Testigo,18.51465,992.60236,36.79,0.0057,0.00036,2389.89,1774.0,2002.67,0.258,175.765,171.9705,14202.0,38.85,2.06,2.06,0.05,94.09,1290.609,13.056,0.00056,0.162,0.06,0.778,0.576,0.668,-1.486,1.819,0.557,25.94,0.0058,0.0963035,0.063,-7228226666666660.0,3.0,40535.0,1791.0,0.232,22.63,35.47,0.4,0.40754905,32.34229,0.27309996,46.4664,3.975151,26.180387,18.388163,27.285667,0.000845,0.0,100.0,331.0,41.9,36.5,45.153
LLEUQUE-INIA,Testigo,19.74609,992.61798,35.03,0.0064,0.00099,777.09,689.0,658.67,0.113,156.58,144.7085,2231.0,36.71,1.68,1.68,0.14,117.01,1710.729,37.169,0.00091,0.152,0.022,0.825,0.952,0.399,0.051,0.55,1.406,37.991,0.0069,0.1316847,0.155,-716334748.0,3.0,7360.0,1115.0,0.443,6.6,30.22,0.56,0.3583448,41.463127,0.28150934,41.91018,-0.83955735,25.106464,10.378773,26.21119,0.004787384,0.0,100.0,525.0,39.534,37.124,45.132
LLEUQUE-INIA,Testigo,19.42383,992.98102,35.38,0.0064,0.00113,1894.35,1696.0,1719.0,0.105,156.699,157.2711,14967.0,37.11,1.73,1.73,0.06,94.73,2263.562,40.727,0.00137,0.093,0.022,0.886,1.824,0.048,-0.004,0.956,0.872,51.75,0.0064,0.2154614,0.177,-7228215333333330.0,3.0,33257.0,1946.0,0.311,17.09,30.17,0.4,0.40754905,32.34229,0.27309996,46.4664,3.975151,26.180387,18.388163,27.285667,0.000845,0.0,100.0,331.0,41.9,36.5,45.153
