Genotipo,Hoja,cara,Chl,Flav,Anth,NBI,temp,Estado Fenológico,Valorgs,Intensity,Hue,Saturation,Lightness,a*,b*,u*,v*,GA,GGA,CSI,Area,Mean,Min,Max,Caracteristica,Ambient Humidity,Ambient Pressure,Ambient Temperature,ECS_tau,ECSt mAU,FmPrime,FoPrime,Fs,FvP_over_FmP,gH+,kP700,leaf angle,Leaf Temperature,Leaf Temperature Differenial,Leaf Temperature Differential,leaf_thickness,LEF,Light Intensity (PAR),NPQt,P700_DIRK_ampl,Phi2,PhiNO,PhiNPQ,PS1 Active Centers,PS1 Open Centers,PS1 Over Reduced Centers,PS1 Oxidized Centers,qL,SPAD,tP700,v_initial_P700,vH+,Latitude,Longitude
QUC 3528-2017,Hoja 1,sup,52227.0,1765.0,0.192,29.59,21.2,1,0.86,0.41076458,94.71452,0.21451479,51.08147,-20.349352,28.136456,-15.03351,34.881775,0.977681473,0.977573131,0.01108156,666,20.717,20.154,21.65,1.0,32.26758,996.0939325,27.655,0.00785,0.00021250000000000002,3390.875,1790.75,2843.4175,0.46175,130.1175,173.49265,9072.75,24.925,-2.73,-2.73,0.3925,120.49,1575.82475,4.8195,0.0010425,0.1845,0.14675,0.669,2.70825,0.25075,0.15575,0.5935,0.28075,58.41725,0.006025,0.17262425,0.027249999999999996,-1826739391050751.5,-1797809652874166.2
QUC 3528-2017,Hoja 1,sup,52227.0,1765.0,0.192,29.59,21.2,1,0.86,0.29822364,94.90916,0.341205,40.834484,-22.799112,31.134472,-16.899858,34.65279,0.977741408,0.977632297,0.011159469,666,19.899,19.278,20.617,1.0,32.26758,996.0939325,27.655,0.00785,0.00021250000000000002,3390.875,1790.75,2843.4175,0.46175,130.1175,173.49265,9072.75,24.925,-2.73,-2.73,0.3925,120.49,1575.82475,4.8195,0.0010425,0.1845,0.14675,0.669,2.70825,0.25075,0.15575,0.5935,0.28075,58.41725,0.006025,0.17262425,0.027249999999999996,-1826739391050751.5,-1797809652874166.2
QUC 3528-2017,Hoja 2,sup,46929.0,1716.0,0.202,27.35,20.99,1,0.86,0.41076458,94.71452,0.21451479,51.08147,-20.349352,28.136456,-15.03351,34.881775,0.977681473,0.977573131,0.01108156,666,20.717,20.154,21.65,1.0,32.26758,996.0939325,27.655,0.00785,0.00021250000000000002,3390.875,1790.75,2843.4175,0.46175,130.1175,173.49265,9072.75,24.925,-2.73,-2.73,0.3925,120.49,1575.82475,4.8195,0.0010425,0.1845,0.14675,0.669,2.70825,0.25075,0.15575,0.5935,0.28075,58.41725,0.006025,0.17262425,0.027249999999999996,-1826739391050751.5,-1797809652874166.2
QUC 3528-2017,Hoja 2,sup,46929.0,1716.0,0.202,27.35,20.99,1,0.86,0.29822364,94.90916,0.341205,40.834484,-22.799112,31.134472,-16.899858,34.65279,0.977741408,0.977632297,0.011159469,666,19.899,19.278,20.617,1.0,32.26758,996.0939325,27.655,0.00785,0.00021250000000000002,3390.875,1790.75,2843.4175,0.46175,130.1175,173.49265,9072.75,24.925,-2.73,-2.73,0.3925,120.49,1575.82475,4.8195,0.0010425,0.1845,0.14675,0.669,2.70825,0.25075,0.15575,0.5935,0.28075,58.41725,0.006025,0.17262425,0.027249999999999996,-1826739391050751.5,-1797809652874166.2
QUC 3528-2017,Hoja 1,sup,45758.0,1673.0,0.195,27.35,25.89,1,0.86,0.41076458,94.71452,0.21451479,51.08147,-20.349352,28.136456,-15.03351,34.881775,0.977681473,0.977573131,0.01108156,666,20.717,20.154,21.65,1.0,32.26758,996.0939325,27.655,0.00785,0.00021250000000000002,3390.875,1790.75,2843.4175,0.46175,130.1175,173.49265,9072.75,24.925,-2.73,-2.73,0.3925,120.49,1575.82475,4.8195,0.0010425,0.1845,0.14675,0.669,2.70825,0.25075,0.15575,0.5935,0.28075,58.41725,0.006025,0.17262425,0.027249999999999996,-1826739391050751.5,-1797809652874166.2
QUC 3528-2017,Hoja 1,sup,45758.0,1673.0,0.195,27.35,25.89,1,0.86,0.29822364,94.90916,0.341205,40.834484,-22.799112,31.134472,-16.899858,34.65279,0.977741408,0.977632297,0.011159469,666,19.899,19.278,20.617,1.0,32.26758,996.0939325,27.655,0.00785,0.00021250000000000002,3390.875,1790.75,2843.4175,0.46175,130.1175,173.49265,9072.75,24.925,-2.73,-2.73,0.3925,120.49,1575.82475,4.8195,0.0010425,0.1845,0.14675,0.669,2.70825,0.25075,0.15575,0.5935,0.28075,58.41725,0.006025,0.17262425,0.027249999999999996,-1826739391050751.5,-1797809652874166.2
QUC 3528-2017,Hoja 2,sup,46931.0,1594.0,0.172,29.45,25.8,1,0.86,0.41076458,94.71452,0.21451479,51.08147,-20.349352,28.136456,-15.03351,34.881775,0.977681473,0.977573131,0.01108156,666,20.717,20.154,21.65,1.0,32.26758,996.0939325,27.655,0.00785,0.00021250000000000002,3390.875,1790.75,2843.4175,0.46175,130.1175,173.49265,9072.75,24.925,-2.73,-2.73,0.3925,120.49,1575.82475,4.8195,0.0010425,0.1845,0.14675,0.669,2.70825,0.25075,0.15575,0.5935,0.28075,58.41725,0.006025,0.17262425,0.027249999999999996,-1826739391050751.5,-1797809652874166.2
QUC 3528-2017,Hoja 2,sup,46931.0,1594.0,0.172,29.45,25.8,1,0.86,0.29822364,94.90916,0.341205,40.834484,-22.799112,31.134472,-16.899858,34.65279,0.977741408,0.977632297,0.011159469,666,19.899,19.278,20.617,1.0,32.26758,996.0939325,27.655,0.00785,0.00021250000000000002,3390.875,1790.75,2843.4175,0.46175,130.1175,173.49265,9072.75,24.925,-2.73,-2.73,0.3925,120.49,1575.82475,4.8195,0.0010425,0.1845,0.14675,0.669,2.70825,0.25075,0.15575,0.5935,0.28075,58.41725,0.006025,0.17262425,0.027249999999999996,-1826739391050751.5,-1797809652874166.2
QUC 3448-2017,Hoja 1,sup,45234.0,1692.0,0.157,26.74,24.28,1,0.835,0.30165228,91.524826,0.35983366,41.20079,-21.98253,32.058624,-15.688459,35.322258,0.977632297,0.977086743,0.055803571,684,18.873,18.366,19.524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QUC 3448-2017,Hoja 1,sup,45234.0,1692.0,0.157,26.74,24.28,1,0.835,0.30919805,93.58263,0.22626859,39.064373,-16.41273,23.235294,-11.094111,26.743849,0.977414075,0.969230769,0.837240455,666,20.907,20.289,22.712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
